"","id","orden","palabra","valoracion"
"56","-M2VaVKUSk1b23LNRn5x",1,"Robots",10
"57","-M2VaVKUSk1b23LNRn5x",2,"Circuitos",10
"58","-M2VaVKUSk1b23LNRn5x",3,"Algoritmos",10
"59","-M2VaVKUSk1b23LNRn5x",4,"Programas",10
"60","-M2VaVKUSk1b23LNRn5x",5,"Neurociencia",10
"61","-M2_4r52vwcW_JKMMCW9",1,"Desarrollo",10
"62","-M2_4r52vwcW_JKMMCW9",2,"Robótica",10
"63","-M2_4r52vwcW_JKMMCW9",3,"Trabajo",5
"64","-M2_4r52vwcW_JKMMCW9",4,"Programacion",10
"65","-M2_4r52vwcW_JKMMCW9",5,"Comunicación",0
"66","-M2_iO9x2A-WaBMJIQvN",1,"Calidad de vida",8
"67","-M2_iO9x2A-WaBMJIQvN",2,"Falta de intimidad",3
"68","-M2_iO9x2A-WaBMJIQvN",3,"Democratización del conocimiento",10
"69","-M2_iO9x2A-WaBMJIQvN",4,"Pérdida de fuentes de trabajo",2
"70","-M2_iO9x2A-WaBMJIQvN",5,"Avance tecnológico",5
"71","-M2bD0ysQm2fF6YIXdol",1,"Tecnologia",8
"72","-M2bD0ysQm2fF6YIXdol",2,"Avanzar",5
"73","-M2bD0ysQm2fF6YIXdol",3,"Pensar",10
"74","-M2bD0ysQm2fF6YIXdol",4,"Futuro",8
"75","-M2bD0ysQm2fF6YIXdol",5,"Incertidumbre",8
"76","-M2bdaw3Z0gr278RXpoB",1,"Robotica",2
"77","-M2bdaw3Z0gr278RXpoB",2,"Informatica",0
"78","-M2bdaw3Z0gr278RXpoB",3,"Sistemas",3
"79","-M2bdaw3Z0gr278RXpoB",4,"Programacion",2
"80","-M2bdaw3Z0gr278RXpoB",5,"Circuitos",3
"81","-M2bdaw3Z0gr278RXpoB",6,"Registros",2
"82","-M2cwJY5t44seDGPjsIO",1,"Robots",6
"83","-M2cwJY5t44seDGPjsIO",2,"Realidad virtual",7
"84","-M2cwJY5t44seDGPjsIO",3,"Celular",2
"85","-M2cwJY5t44seDGPjsIO",4,"Disminución de la creatividad",1
"86","-M2cwJY5t44seDGPjsIO",5,"Poca interacción social",2
"87","-M2d82bYnFG_lGiw8vbh",1,"Prototipos",5
"88","-M2d82bYnFG_lGiw8vbh",2,"Computadoras",5
"89","-M2d82bYnFG_lGiw8vbh",3,"Algoritmos",5
"90","-M2d82bYnFG_lGiw8vbh",4,"Cibernetica",5
"91","-M2d82bYnFG_lGiw8vbh",5,"Neurociencia",5
"92","-M2dJa_ek2qv-rRMQuW9",1,"Robots",4
"93","-M2dJa_ek2qv-rRMQuW9",2,"Computadora",4
"94","-M2dJa_ek2qv-rRMQuW9",3,"Apps",5
"95","-M2dJa_ek2qv-rRMQuW9",4,"Celular",5
"96","-M2dJa_ek2qv-rRMQuW9",5,"Holograma",5
"97","-M2dZI2HKOkR_fDMwA4X",1,"De mentira",8
"98","-M2dZI2HKOkR_fDMwA4X",2,"Creada",5
"99","-M2dZI2HKOkR_fDMwA4X",3,"Robot",8
"100","-M2dZI2HKOkR_fDMwA4X",4,"Mucha",0
"101","-M2dZI2HKOkR_fDMwA4X",5,"Utópica",5
"102","-M2fa93EaxIziPTIDVZq",1,"Robot",6
"103","-M2fa93EaxIziPTIDVZq",2,"Facilidad",9
"104","-M2fa93EaxIziPTIDVZq",3,"Futuro",7
"105","-M2fa93EaxIziPTIDVZq",4,"Datos",7
"106","-M2fa93EaxIziPTIDVZq",5,"Sencillez",8
"107","-M2ieGdfrzpkyEWXEE6x",1,"Programación",8
"108","-M2ieGdfrzpkyEWXEE6x",2,"Robótica",3
"109","-M2ieGdfrzpkyEWXEE6x",3,"Modelos predictivos",10
"110","-M2ieGdfrzpkyEWXEE6x",4,"Ciencia de datos",10
"111","-M2ieGdfrzpkyEWXEE6x",5,"Análisis",10
"112","-M2k60XhyQZGUZBnXYRd",1,"Máquina de Turing",5
"113","-M2k60XhyQZGUZBnXYRd",2,"Libre albedrío",8
"114","-M2k60XhyQZGUZBnXYRd",3,"Velocidad",5
"115","-M2k60XhyQZGUZBnXYRd",4,"Utilidad",7
"116","-M2k60XhyQZGUZBnXYRd",5,"Desarrollo científico",9
"117","-M2kwW0AiueR0x58iZSc",1,"Skynet",0
"118","-M2kwW0AiueR0x58iZSc",2,"Accesibilidad",10
"119","-M2kwW0AiueR0x58iZSc",3,"Sustentabilidad",10
"120","-M2kwW0AiueR0x58iZSc",4,"T-1000",0
"121","-M2kwW0AiueR0x58iZSc",5,"Comodidad",10
"122","-M2lLMSCyvaXR5i80f_p",1,"Ciencia",10
"123","-M2lLMSCyvaXR5i80f_p",2,"Tecnología",10
"124","-M2lLMSCyvaXR5i80f_p",3,"Procedimiento",10
"125","-M2lLMSCyvaXR5i80f_p",4,"Educación",10
"126","-M2lLMSCyvaXR5i80f_p",5,"Investigación",10
"127","-M2oGyRuvL8b87j5Os7v",1,"redes neuronales",10
"128","-M2oGyRuvL8b87j5Os7v",2,"big data",5
"129","-M2oGyRuvL8b87j5Os7v",3,"falta de privacidad",0
"130","-M2oGyRuvL8b87j5Os7v",4,"algoritmos",7
"131","-M2oGyRuvL8b87j5Os7v",5,"autonomia computacional",5
"132","-M2omr70hGiMyrhnDOiz",1,"Robots",6
"133","-M2omr70hGiMyrhnDOiz",2,"Tecnología",10
"134","-M2omr70hGiMyrhnDOiz",3,"Futuro",7
"135","-M2omr70hGiMyrhnDOiz",4,"Información",7
"136","-M2omr70hGiMyrhnDOiz",5,"Inseguridad",3
"137","-M2p0lkjAciPE1wOCWYj",1,"robots",7
"138","-M2p0lkjAciPE1wOCWYj",2,"computadoras",10
"139","-M2p0lkjAciPE1wOCWYj",3,"ciencia",10
"140","-M2p0lkjAciPE1wOCWYj",4,"ingenieros",10
"141","-M2p0lkjAciPE1wOCWYj",5,"programacion",7
"142","-M2p1H-fvCeWb85IyKVJ",1,"Robots",5
"143","-M2p1H-fvCeWb85IyKVJ",2,"No humanos",2
"144","-M2p1H-fvCeWb85IyKVJ",3,"Avance",7
"145","-M2p1H-fvCeWb85IyKVJ",4,"Mente propia",5
"146","-M2p1H-fvCeWb85IyKVJ",5,"Futuro",7
"147","-M2p1iZ562gX6csi37hv",1,"Progreso",10
"148","-M2p1iZ562gX6csi37hv",2,"Eficiencia",10
"149","-M2p1iZ562gX6csi37hv",3,"Futuro",7
"150","-M2p1iZ562gX6csi37hv",4,"Desconfianza",0
"151","-M2p1iZ562gX6csi37hv",5,"Competencia",3
"152","-M2pBlII2ocMygphwNlH",1,"Poder de computo",8
"153","-M2pBlII2ocMygphwNlH",2,"Big data",4
"154","-M2pBlII2ocMygphwNlH",3,"privacidad",2
"155","-M2pBlII2ocMygphwNlH",4,"eficiencia",10
"156","-M2pBlII2ocMygphwNlH",5,"monopolio",2
"157","-M2pNaeMcY0Po4PuPQBR",1,"robot",5
"158","-M2pNaeMcY0Po4PuPQBR",2,"cerebro",7
"159","-M2pNaeMcY0Po4PuPQBR",3,"maquina",5
"160","-M2pNaeMcY0Po4PuPQBR",4,"dispositivo",5
"161","-M2pNaeMcY0Po4PuPQBR",5,"plata",5
"162","-M2prFg4RZTAVNvtqBQa",1,"Robot",10
"163","-M2prFg4RZTAVNvtqBQa",2,"Desempleo",0
"164","-M2prFg4RZTAVNvtqBQa",3,"Comodidad",10
"165","-M2prFg4RZTAVNvtqBQa",4,"Frialdad, deshumanización",0
"166","-M2prFg4RZTAVNvtqBQa",5,"Futuro",5
"167","-M2pubE2ecDc0cn9cfTU",1,"Red Neuronal",10
"168","-M2pubE2ecDc0cn9cfTU",2,"Aprendizaje Automatico",10
"169","-M2pubE2ecDc0cn9cfTU",3,"Juegos de Mesa",10
"170","-M2pubE2ecDc0cn9cfTU",4,"Matemática",10
"171","-M2pubE2ecDc0cn9cfTU",5,"Predicciones",10
"172","-M2qFJ6T6V28WD32XcsB",1,"Robot",5
"173","-M2qFJ6T6V28WD32XcsB",2,"Animado",8
"174","-M2qFJ6T6V28WD32XcsB",3,"Autómata",8
"175","-M2qFJ6T6V28WD32XcsB",4,"Tecnología",10
"176","-M2qFJ6T6V28WD32XcsB",5,"Máquina",5
"177","-M2ulnBkfb-NdKeEABbo",1,"Machine learning",10
"178","-M2ulnBkfb-NdKeEABbo",2,"Estadistica",9
"179","-M2ulnBkfb-NdKeEABbo",3,"Programación",9
"180","-M2ulnBkfb-NdKeEABbo",4,"Big Data",9
"181","-M2ulnBkfb-NdKeEABbo",5,"Matemática",10
"182","-M2unhBUHv83MkqDKjBo",1,"Problema",3
"183","-M2unhBUHv83MkqDKjBo",2,"Avance",7
"184","-M2unhBUHv83MkqDKjBo",3,"Automatización",4
"185","-M2unhBUHv83MkqDKjBo",4,"Mejoras",9
"186","-M2unhBUHv83MkqDKjBo",5,"Cambio",5
"187","-M2xg2mPde6HRW2gWYrA",1,"Ciencia",4
"188","-M2xg2mPde6HRW2gWYrA",2,"Ficcion",5
"189","-M2xg2mPde6HRW2gWYrA",3,"Futuro",9
"190","-M2xg2mPde6HRW2gWYrA",4,"Trabajo",10
"191","-M2xg2mPde6HRW2gWYrA",5,"Cambio",5
"192","-M2xjjMpSsLTMt2tXGDt",1,"Peligrosa",0
"193","-M2xjjMpSsLTMt2tXGDt",2,"Cuidado",9
"194","-M2xjjMpSsLTMt2tXGDt",3,"Control",7
"195","-M2xjjMpSsLTMt2tXGDt",4,"Respondabilidad",6
"196","-M2xjjMpSsLTMt2tXGDt",5,"Negocios",0
"197","-M2xuNL8n-yA2Al5IRKB",1,"Robótica",7
"198","-M2xuNL8n-yA2Al5IRKB",2,"Tecnología",8
"199","-M2xuNL8n-yA2Al5IRKB",3,"Algoritmos",9
"200","-M2xuNL8n-yA2Al5IRKB",4,"Tareas",7
"201","-M2xuNL8n-yA2Al5IRKB",5,"Ayuda social (medicina, research)",8
"202","-M2y5cHBFijHTMaCvyF6",1,"Robots",9
"203","-M2y5cHBFijHTMaCvyF6",2,"Software",9
"204","-M2y5cHBFijHTMaCvyF6",3,"Automatizacion",5
"205","-M2y5cHBFijHTMaCvyF6",4,"Tecnologia",9
"206","-M2y5cHBFijHTMaCvyF6",5,"Futuro",9
"207","-M2zuMtoN3yX4d6pW4zZ",1,"Automático",7
"208","-M2zuMtoN3yX4d6pW4zZ",2,"Robótico",5
"209","-M2zuMtoN3yX4d6pW4zZ",3,"Algo no producido directamente  por el hombre",3
"210","-M2zuMtoN3yX4d6pW4zZ",4,"Poco sensible",2
"211","-M2zuMtoN3yX4d6pW4zZ",5,"Computación",6
"212","-M3-BaDuKvXift-fP_2Z",1,"TEGNOLOGIA",5
"213","-M3-BaDuKvXift-fP_2Z",2,"AVANCES",5
"214","-M3-BaDuKvXift-fP_2Z",3,"REVOLUCION",5
"215","-M3-BaDuKvXift-fP_2Z",4,"COMODIDAD",5
"216","-M3-BaDuKvXift-fP_2Z",5,"CONFORT",5
"217","-M3-OpTILQrT22YVG017",1,"robots",6
"218","-M3-OpTILQrT22YVG017",2,"Aislamiento social",4
"219","-M3-OpTILQrT22YVG017",3,"Perdidas de trabajo",3
"220","-M3-OpTILQrT22YVG017",4,"Posibilidades",7
"221","-M3-OpTILQrT22YVG017",5,"Terminator",1
"222","-M3-wCHatIqU2xkbBA15",1,"Tecnología",5
"223","-M3-wCHatIqU2xkbBA15",2,"Futuro",3
"224","-M3-wCHatIqU2xkbBA15",3,"Dominación",0
"225","-M3-wCHatIqU2xkbBA15",4,"Independencia",7
"226","-M3-wCHatIqU2xkbBA15",5,"Progreso",7
"227","-M31vMlVJylLVAX042od",1,"Computadora",8
"228","-M31vMlVJylLVAX042od",2,"Máquinas automátizadas",6
"229","-M31vMlVJylLVAX042od",3,"Robot",4
"230","-M31vMlVJylLVAX042od",4,"Futuro",8
"231","-M31vMlVJylLVAX042od",5,"Incertidumbre",3
"232","-M327IC9FEA1hloPx769",1,"Tecnologia",8
"233","-M327IC9FEA1hloPx769",2,"Maquinas",4
"234","-M327IC9FEA1hloPx769",3,"Robotica",5
"235","-M327IC9FEA1hloPx769",4,"Computacion",7
"236","-M327IC9FEA1hloPx769",5,"Electronica",4
"237","-M327XCoCl8iEc4RI2wn",1,"Tecnología",9
"238","-M327XCoCl8iEc4RI2wn",2,"Futuro",10
"239","-M327XCoCl8iEc4RI2wn",3,"Informatica",10
"240","-M327XCoCl8iEc4RI2wn",4,"Digitalidad",10
"241","-M327XCoCl8iEc4RI2wn",5,"Algoritmo",10
"242","-M332vBoWfVGSMA-QvLi",1,"Innovación",10
"243","-M332vBoWfVGSMA-QvLi",2,"Automatización",7
"244","-M332vBoWfVGSMA-QvLi",3,"Investigación",10
"245","-M332vBoWfVGSMA-QvLi",4,"Despidos",1
"246","-M332vBoWfVGSMA-QvLi",5,"Comunicación",6
"247","-M33i_ThEOTL3z-8DLKG",1,"Perdida de privacidad",0
"248","-M33i_ThEOTL3z-8DLKG",2,"Nuevas tecnologías",10
"249","-M33i_ThEOTL3z-8DLKG",3,"Perdida de autenticidad",0
"250","-M33i_ThEOTL3z-8DLKG",4,"Generación perezosa",0
"251","-M33i_ThEOTL3z-8DLKG",5,"Nuevos desafíos",5
"252","-M33i_ThEOTL3z-8DLKG",6,"Crecimiento y desarrollo social",10
"253","-M33i_ThEOTL3z-8DLKG",7,"Acumulación de capital",0
"254","-M3427nZjtQyFG-JqjAn",1,"Futuro",9
"255","-M3427nZjtQyFG-JqjAn",2,"Tecnología",7
"256","-M3427nZjtQyFG-JqjAn",3,"Pensamiento",10
"257","-M3427nZjtQyFG-JqjAn",4,"Nuevas estrategias",7
"258","-M3427nZjtQyFG-JqjAn",5,"Robótica",8
"259","-M3446M4bsV6BsIXd7Nf",1,"Futuro",10
"260","-M3446M4bsV6BsIXd7Nf",2,"Revolución",10
"261","-M3446M4bsV6BsIXd7Nf",3,"automatización",10
"262","-M3446M4bsV6BsIXd7Nf",4,"sistemático",9
"263","-M3446M4bsV6BsIXd7Nf",5,"incremental",8
"264","-M3ms92KMG433cWx73Wd",1,"Innovacion",5
"265","-M3ms92KMG433cWx73Wd",2,"Tecnologia",5
"266","-M3ms92KMG433cWx73Wd",3,"Evolucion",5
"267","-M3ms92KMG433cWx73Wd",4,"Investigacion",5
"268","-M3ms92KMG433cWx73Wd",5,"Impacto",5
"269","-M3t4Jqup2nQDOcpkC8l",1,"Efectividad",8
"270","-M3t4Jqup2nQDOcpkC8l",2,"Futuro",5
"271","-M3t4Jqup2nQDOcpkC8l",3,"Posibilidades",10
"272","-M3t4Jqup2nQDOcpkC8l",4,"Desempleo",2
"273","-M3t4Jqup2nQDOcpkC8l",5,"Dependencia",2
"274","-M3vufbKu1--Lc2bgBC-",1,"Utilización de información",5
"275","-M3vufbKu1--Lc2bgBC-",2,"Rapidez",1
"276","-M3vufbKu1--Lc2bgBC-",3,"No reconoce grises",8
"277","-M3vufbKu1--Lc2bgBC-",4,"Arma perfiles rigurosos",5
"278","-M3vufbKu1--Lc2bgBC-",5,"No contempla la diferencia",10
"279","-M3vufbKu1--Lc2bgBC-",6,"Herramienta",8
"280","-M3wEfnQGCY9Ms58mNAx",1,"Robots",3
"281","-M3wEfnQGCY9Ms58mNAx",2,"Deshumanización",1
"282","-M3wEfnQGCY9Ms58mNAx",3,"Computadora",8
"283","-M3wEfnQGCY9Ms58mNAx",4,"Reconocimiento facial",2
"284","-M3wEfnQGCY9Ms58mNAx",5,"Programación",8
"285","-M3wHrXTcq319J5ULr4Z",1,"Avances",10
"286","-M3wHrXTcq319J5ULr4Z",2,"Investigación",10
"287","-M3wHrXTcq319J5ULr4Z",3,"Robots",5
"288","-M3wHrXTcq319J5ULr4Z",4,"Desempleo",0
"289","-M3wHrXTcq319J5ULr4Z",5,"Comodidad",6
"290","-M46vWAtpLWpJxqgmHUK",1,"Drako",10
"291","-M46vWAtpLWpJxqgmHUK",2,"Carrera",10
"292","-M46vWAtpLWpJxqgmHUK",3,"Futuro",10
"293","-M46vWAtpLWpJxqgmHUK",4,"Hijo",10
"294","-M46vWAtpLWpJxqgmHUK",5,"Proyeccion",10
"295","-M49FZMqE4c4ar6M73lN",1,"Ciencia",5
"296","-M49FZMqE4c4ar6M73lN",2,"Tecnología",5
"297","-M49FZMqE4c4ar6M73lN",3,"Humanidad",5
"298","-M49FZMqE4c4ar6M73lN",4,"Manipular",5
"299","-M49FZMqE4c4ar6M73lN",5,"Límites éticos",5
"300","-M49rxxyhoW5xgdBNa0v",1,"Robots",2
"301","-M49rxxyhoW5xgdBNa0v",2,"Desarrollo científico",7
"302","-M49rxxyhoW5xgdBNa0v",3,"Deshumanización",1
"303","-M49rxxyhoW5xgdBNa0v",4,"No se discuten los efectos éticos",3
"304","-M49rxxyhoW5xgdBNa0v",5,"Manipulación",2
"305","-M4ABIGu_-cRhOGJ3NxJ",1,"Robot",5
"306","-M4ABIGu_-cRhOGJ3NxJ",2,"Cerebro",10
"307","-M4ABIGu_-cRhOGJ3NxJ",3,"Objeto",6
"308","-M4ABIGu_-cRhOGJ3NxJ",4,"Ayuda",9
"309","-M4ABIGu_-cRhOGJ3NxJ",5,"Sistema",5
"310","-M4ASo2XPfFH2ttOIhnA",1,"Pensador",10
"311","-M4ASo2XPfFH2ttOIhnA",2,"Tecnología",10
"312","-M4ASo2XPfFH2ttOIhnA",3,"Independiente",9
"313","-M4ASo2XPfFH2ttOIhnA",4,"Programación",10
"314","-M4ASo2XPfFH2ttOIhnA",5,"Elecciones dudosas",5
"315","-M4ASo2XPfFH2ttOIhnA",6,"Desarrollo",10
"316","-M4ASo2XPfFH2ttOIhnA",7,"Avance",10
"317","-M4ASo2XPfFH2ttOIhnA",8,"Humano",8
"318","-M4BTG5Z_ix9QGfDEOxC",1,"dependencia",3
"319","-M4BTG5Z_ix9QGfDEOxC",2,"mayor facilidad para conseguir información",8
"320","-M4BTG5Z_ix9QGfDEOxC",3,"sobreabundancia de información",3
"321","-M4BTG5Z_ix9QGfDEOxC",4,"irrealidad",1
"322","-M4BTG5Z_ix9QGfDEOxC",5,"informática",7
"323","-M4C0ns9siZEVsz2qby0",1,"Asistencia",10
"324","-M4C0ns9siZEVsz2qby0",2,"Divertirse",10
"325","-M4C0ns9siZEVsz2qby0",3,"Sexo",5
"326","-M4C0ns9siZEVsz2qby0",4,"Salud",10
"327","-M4C0ns9siZEVsz2qby0",5,"Orientacion",10
"328","-M4D0gborpciv21zSQQo",1,"Maquinas",7
"329","-M4D0gborpciv21zSQQo",2,"Evolucion",10
"330","-M4D0gborpciv21zSQQo",3,"Tecnología",10
"331","-M4D0gborpciv21zSQQo",4,"Medicina",9
"332","-M4D0gborpciv21zSQQo",5,"Biologia",8
"333","-M4D7ZoTDQIfkdz0QVA9",1,"Robot",6
"334","-M4D7ZoTDQIfkdz0QVA9",2,"Internet",8
"335","-M4D7ZoTDQIfkdz0QVA9",3,"Humanidad",9
"336","-M4D7ZoTDQIfkdz0QVA9",4,"Avance",7
"337","-M4D7ZoTDQIfkdz0QVA9",5,"Electricidad",7
"338","-M4EYUy59HMuDYAVQiY6",1,"Aprendizaje",10
"339","-M4EYUy59HMuDYAVQiY6",2,"Gran alcance",10
"340","-M4EYUy59HMuDYAVQiY6",3,"Seguridad de la información",6
"341","-M4EYUy59HMuDYAVQiY6",4,"Uso en gestión pública, salud, educación, trab eco",9
"342","-M4EYUy59HMuDYAVQiY6",5,"Valorar su combinación con conocimientos de cada d",10
"343","-M4FK5upcnrepWLENZcO",1,"Robotica",0
"344","-M4FK5upcnrepWLENZcO",2,"Sustitucion trabajo  humano",0
"345","-M4FK5upcnrepWLENZcO",3,"Facilitar",0
"346","-M4FK5upcnrepWLENZcO",4,"Control",0
"347","-M4FK5upcnrepWLENZcO",5,"Pobreza",0
"348","-M4H5HYLoPzRRJxflHdw",1,"Me suena a robots",5
"349","-M4H5HYLoPzRRJxflHdw",2,"Computadoras",0
"350","-M4H5HYLoPzRRJxflHdw",3,"Me da miedo",10
"351","-M4H5HYLoPzRRJxflHdw",4,"Nos puede superar",10
"352","-M4H5HYLoPzRRJxflHdw",5,"Es el futuro",5
"353","-M4I6KPtvqoTbgOf9Z_q",1,"Computadoras",10
"354","-M4I6KPtvqoTbgOf9Z_q",2,"Internet",10
"355","-M4I6KPtvqoTbgOf9Z_q",3,"Robótica",10
"356","-M4I6KPtvqoTbgOf9Z_q",4,"Nuevo",5
"357","-M4I6KPtvqoTbgOf9Z_q",5,"Tecnologías",5
"358","-M4KIzz5gS5a9Llm36fN",1,"Pensamiento",10
"359","-M4KIzz5gS5a9Llm36fN",2,"Computadoras",8
"360","-M4KIzz5gS5a9Llm36fN",3,"Tecnología",5
"361","-M4KIzz5gS5a9Llm36fN",4,"Creatividad",7
"362","-M4KIzz5gS5a9Llm36fN",5,"Oportunidad",5
"363","-M4L_XzpNOuxu5-DO1NP",1,"skynet",2
"364","-M4L_XzpNOuxu5-DO1NP",2,"terminator",2
"365","-M4L_XzpNOuxu5-DO1NP",3,"perdidad de trabajos",1
"366","-M4L_XzpNOuxu5-DO1NP",4,"seguridad",3
"367","-M4L_XzpNOuxu5-DO1NP",5,"clasificación",2
"368","-M4MkyqckNdDW3sUYZbN",1,"Educación",9
"369","-M4MkyqckNdDW3sUYZbN",2,"Alternativa",7
"370","-M4MkyqckNdDW3sUYZbN",3,"Maestro",8
"371","-M4MkyqckNdDW3sUYZbN",4,"Formación",9
"372","-M4MkyqckNdDW3sUYZbN",5,"Desafío",5
"373","-M4PXZotyOSfaWiyPCL3",1,"Algoritmo",5
"374","-M4PXZotyOSfaWiyPCL3",2,"Automatización",8
"375","-M4PXZotyOSfaWiyPCL3",3,"Control",5
"376","-M4PXZotyOSfaWiyPCL3",4,"Reconocimiento Facial",8
"377","-M4PXZotyOSfaWiyPCL3",5,"Skynet",0
"378","-M4Pl8NbJGm90q9RP7_l",1,"Innovar",10
"379","-M4Pl8NbJGm90q9RP7_l",2,"Descubrir",10
"380","-M4Pl8NbJGm90q9RP7_l",3,"Crear",10
"381","-M4Pl8NbJGm90q9RP7_l",4,"Fortalecer",10
"382","-M4Pl8NbJGm90q9RP7_l",5,"Avanzar",10
"383","-M4QYGVNDymcwvIy34kZ",1,"Computador",10
"384","-M4QYGVNDymcwvIy34kZ",2,"Máquina",10
"385","-M4QYGVNDymcwvIy34kZ",3,"Futuro",10
"386","-M4QYGVNDymcwvIy34kZ",4,"Sociedad",10
"387","-M4QYGVNDymcwvIy34kZ",5,"Tecnología",10
"388","-M4QuCAcScC-9xZQIpvk",1,"Ciencia",9
"389","-M4QuCAcScC-9xZQIpvk",2,"Tecnología",9
"390","-M4QuCAcScC-9xZQIpvk",3,"Resolución de problemas",8
"391","-M4QuCAcScC-9xZQIpvk",4,"Robots",6
"392","-M4QuCAcScC-9xZQIpvk",5,"""Piensan/Hacen otros lo que podríamos hacer""",6
"393","-M4XVcatjvtyJgVlsPyB",1,"Futuro",10
"394","-M4XVcatjvtyJgVlsPyB",2,"Progreso",10
"395","-M4XVcatjvtyJgVlsPyB",3,"Utopía",10
"396","-M4XVcatjvtyJgVlsPyB",4,"Distopía",0
"397","-M4XVcatjvtyJgVlsPyB",5,"Rebelión de las máquinas",0
"398","-M4a1nIE15MiuN4LbE0K",1,"Mercado",10
"399","-M4a1nIE15MiuN4LbE0K",2,"Precarización",10
"400","-M4a1nIE15MiuN4LbE0K",3,"Positivismo",0
"401","-M4a1nIE15MiuN4LbE0K",4,"Salud",0
"402","-M4a1nIE15MiuN4LbE0K",5,"Concentración de capital",10
"403","-M4c2Qrtj5zPj18aOy4b",1,"Robot",5
"404","-M4c2Qrtj5zPj18aOy4b",2,"Evolucion",2
"405","-M4c2Qrtj5zPj18aOy4b",3,"Informatica",8
"406","-M4c2Qrtj5zPj18aOy4b",4,"Relaciones virtuales",1
"407","-M4c2Qrtj5zPj18aOy4b",5,"Saber especifico",9
"408","-M4c2Qrtj5zPj18aOy4b",6,"Artificial",0
"409","-M53AyAMgtBqT3jz2612",1,"Avance",8
"410","-M53AyAMgtBqT3jz2612",2,"Consumo",5
