"","primera_palabra","segunda_palabra","tercera_palabra","cuarta_palabra","quinta_palabra","gaais_1n","gaais_2n","gaais_3n","gaais_4n","gaais_5n","gaais_6n","gaais_7n","gaais_8n","gaais_9n","gaais_1p","gaais_2p","gaais_3p","gaais_4p","gaais_5p","gaais_6p","gaais_7p","gaais_8p","conocimiento","experiencia","edad","genero","estudio","ocupacion","uso_redes","uso_plataformas","uso_apps","uso_ias","uso_asistentes","uso_robots","minipip1","minipip2","minipip3","minipip4","minipip5","minipip6r","minipip7r","minipip8r","minipip9r","minipip10r","minipip11","minipip12","minipip13","minipip14","minipip15r","minipip16r","minipip17r","minipip18r","minipip19r","minipip20r","id"
"11","Futuro","Tecnologia","Reemplazo","Desconocimiento","Velocidad",2,4,2,3,4,4,3,2,3,3,1,4,3,1,5,2,3,3,5,36,"Varón","Universitario o terciario","Ocupado/a en administración o gestión",4,4,4,1,2,1,3,1,3,1,2,3,4,2,4,1,3,2,2,2,1,2,3,4,4,4,11
"12","Chatgpt","Openai","Lenguaje","Miedo","Código",3,4,2,2,4,4,3,3,2,4,3,4,4,4,4,3,5,6,6,34,"Varón","Posgrado","Ocupado/a en matemáticas o computación",3,4,1,4,1,1,3,3,3,2,3,2,3,2,2,1,5,3,5,5,2,5,2,4,2,4,12
"13","machine","prediccion","chat gpt","redes","robot",1,3,3,2,5,4,4,4,5,5,4,5,5,5,5,5,5,9,9,34,"Varón","Universitario o terciario","Ocupado/a en matemáticas o computación",4,4,3,4,3,3,4,4,4,1,4,2,3,5,4,3,3,2,4,2,4,4,1,5,5,2,13
"14","Progreso","Oportunidadades","Automatización","Beneficios","Mejora",2,1,1,2,4,2,4,2,4,5,3,5,5,5,5,5,5,7,4,28,"Varón","Universitario o terciario","Ocupado/a en matemáticas o computación",4,4,2,1,2,2,3,4,4,2,3,3,2,2,4,3,5,3,4,2,3,3,2,3,4,3,14
"15","Robot","Metal","Sentimientos","Desierto","Bruma",2,3,3,4,4,4,4,4,2,3,3,3,3,2,3,4,3,2,2,40,"Mujer","Secundario","Ocupado/a en comunicación, arte, deportes, o entretenimiento",4,4,3,2,2,2,1,3,3,3,4,3,2,1,3,2,3,4,4,2,3,4,1,3,4,2,15
"16","Chatgpt","Robot","Internet","Redes sociales","Innovacion",1,5,2,2,5,4,2,2,3,4,2,4,4,5,5,4,4,6,4,36,"Varón","Secundario","Ocupado/a en bibliotecas, educación o capacitación",4,4,4,2,3,1,3,4,4,3,2,5,2,2,4,3,2,4,5,2,2,4,2,2,4,4,16
"17","Asistencia","Automatica","Computadora","Rapida","Mecanizada",2,2,2,1,4,2,2,2,3,4,4,5,4,4,4,4,4,5,5,32,"Varón","Universitario o terciario","Ocupado/a en agricultura, pesca y ganadería",3,3,3,2,2,2,4,4,2,2,4,3,1,3,3,3,3,3,4,2,2,3,1,3,3,3,17
"18","Progreso","Actualización","Peligro","Util","Tecnología",2,5,4,5,3,5,2,4,4,5,1,4,5,5,5,3,2,4,5,26,"Mujer","Universitario o terciario","Ocupado/a en servicios de salud",4,4,2,1,1,1,1,5,2,4,4,1,1,3,3,1,5,5,2,2,4,4,1,5,2,2,18
"19","chat gpt","bard","redes neuronales","datos","genIA",5,1,1,2,5,4,4,2,1,4,5,4,5,5,4,4,5,7,9,43,"Varón","Posgrado","Ocupado/a en administración o gestión",4,3,2,3,3,2,2,4,3,2,3,4,2,2,5,1,3,4,4,2,1,4,2,2,1,1,19
"20","Futuro","Peligro","Trabajo","Seguridad","Ayuda",5,3,3,2,3,5,4,2,5,3,3,3,3,5,4,4,3,3,5,36,"Varón","Secundario","Ocupado/a en administración o gestión",4,4,4,1,2,1,3,5,3,3,5,3,1,1,3,3,1,5,5,3,3,2,3,2,3,2,20
"21","Futurismo","Robot","Tecnología","Velocidad","Ciencia",3,1,1,1,5,3,2,1,1,5,5,5,5,5,5,5,5,5,5,37,"Mujer","Universitario o terciario","Ocupado/a en administración o gestión",4,4,2,2,2,1,1,5,4,3,4,3,1,1,2,1,4,5,5,4,3,3,1,1,3,3,21
"22","Robot","Futuro","Desconfianza","Deshumanización","Preocupación",2,5,4,4,1,4,2,4,5,3,2,2,3,3,4,2,5,4,4,39,"Mujer","Universitario o terciario","Ocupado/a en bibliotecas, educación o capacitación",4,3,3,2,2,2,3,5,4,3,4,1,1,1,3,3,4,4,4,2,2,4,1,1,3,1,22
"23","tecnología","innovación","increíble","automatización","robots",1,4,1,3,2,4,1,2,2,5,3,4,5,5,5,3,1,3,1,19,"Mujer","Universitario o terciario","Ocupado/a en el cuidado de otras personas",4,4,2,1,1,1,2,5,4,4,4,2,1,1,3,1,2,4,4,5,2,5,1,2,2,1,23
"24","Computadora","Rapidez","Eficacia","Practicidad","Accesibilidad",1,4,4,4,1,4,1,4,5,3,1,3,3,4,4,5,1,1,1,25,"Mujer","Universitario o terciario","Estudiante",4,4,2,1,2,1,1,5,2,4,4,1,1,1,1,1,5,5,4,4,2,2,1,2,1,1,24
"25","Tecnologia","Rapidez","Robot","Ciencia","Máquina 2",3,1,2,5,4,5,4,5,5,2,2,2,3,2,5,4,4,1,1,59,"Mujer","Universitario o terciario","Ocupado/a en administración o gestión",2,3,3,1,3,3,3,4,4,3,3,1,4,1,3,2,2,5,4,5,5,3,3,3,3,4,25
"26","Rápido","Solución","Eficiencia","Respuestas","Diverso",2,4,4,1,4,3,3,1,1,5,2,3,4,4,5,2,5,3,5,30,"Mujer","Universitario o terciario","Ocupado/a en servicios de salud",4,4,4,2,1,1,3,4,3,3,2,2,1,3,3,5,5,4,5,2,5,3,1,1,3,2,26
"27","Herramienta","Asistente","Silucion","Busqueda","Respuesta",4,4,1,2,5,3,3,1,1,5,3,5,4,5,5,3,5,7,7,39,"Varón","Secundario","Ocupado/a en matemáticas o computación",3,4,2,3,1,1,2,3,3,2,3,2,2,5,2,1,2,3,1,1,1,3,2,5,2,2,27
"28","Sistema","Información","Peligro","Incontrolado","Herramienta",2,4,3,2,3,4,2,3,5,4,1,4,4,4,5,3,4,5,3,35,"Varón","Posgrado","Ocupado/a en legales",2,4,3,1,1,1,3,5,4,1,4,1,1,2,3,2,3,5,5,1,1,2,1,2,2,2,28
"29","Velocidad","Precision","Capacidad","Trabajo","Certeza",5,1,1,1,1,1,1,1,1,5,1,1,5,5,1,5,5,5,1,61,"Mujer","Universitario o terciario","Ocupado/a en administración o gestión",1,4,1,1,3,1,4,5,5,1,3,1,1,3,3,1,5,5,3,1,1,5,1,1,4,3,29
"30","Incognita","Futuro","Suerte","Desconocimiento","Fe",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,58,"Varón","Secundario","Ocupado/a en elaboración y servicio de alimentos",4,4,1,1,1,1,3,5,4,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,30
"31","Tecnología","Robot","Académico","Resolver","Innovación",2,4,3,4,2,3,2,3,4,4,3,3,3,2,4,3,3,3,3,33,"Mujer","Posgrado","Ocupado/a en el cuidado de otras personas",4,3,2,2,2,1,3,5,4,3,4,2,2,2,4,2,4,4,4,2,2,4,1,2,2,2,31
"32","Robot","dominar","no creatividad","facilidad","futuro",2,5,3,3,4,4,1,3,4,4,1,2,3,4,5,2,2,3,3,32,"Mujer","Posgrado","Ocupado/a en servicios de salud",4,4,4,1,3,2,3,5,3,3,5,1,1,3,3,4,3,4,4,3,2,3,1,3,3,1,32
"33","Respuesta","Informacion","Solucion","Automatico","Maquina",4,2,3,3,2,1,3,2,4,3,2,3,3,4,4,3,2,4,3,38,"Varón","Universitario o terciario","Ocupado/a en operaciones comerciales o financieras",4,4,2,1,2,1,2,5,4,2,4,1,1,4,4,4,5,4,3,1,2,4,1,3,5,1,33
"34","Eficacia","Innovación","Desarrollo","Oportunidades","Automatización",3,3,4,4,2,4,3,4,4,2,3,4,2,2,2,3,2,6,6,32,"Varón","Posgrado","Ocupado/a en administración o gestión",2,3,3,2,2,1,3,4,4,3,3,1,1,2,4,2,4,4,5,3,2,3,1,1,2,3,34
"35","Automático","Avance","Peligro","Interacción","Amigarse",3,2,1,3,4,3,3,2,3,5,1,3,4,5,5,4,3,7,8,37,"Varón","Universitario o terciario","Ocupado/a en el cuidado de otras personas",4,4,2,1,1,2,1,5,3,2,4,4,1,3,4,3,1,4,3,2,3,5,1,3,3,2,35
"36","Estadística","Ayuda","Desarrollo","Tecnologia","Revolución",4,2,1,3,4,4,3,1,1,5,3,4,5,5,5,5,5,8,9,44,"Varón","Posgrado","Ocupado/a en matemáticas o computación",4,4,3,4,2,4,2,4,3,2,3,2,2,1,3,4,4,4,4,3,4,4,2,3,4,2,36
"37","Intriga","Miedo","Ayuda","Peligroso","Avance",1,5,3,3,2,5,2,3,2,5,2,5,4,5,5,3,4,6,5,34,"Mujer",NA,"Ocupado/a en servicios de salud",4,4,3,2,2,1,3,5,4,4,3,1,1,2,2,2,3,4,4,3,2,3,1,2,4,2,37
"38","Avance tecnológico","Desafío","Temor","Desconocimiento","Herramienta",2,5,4,4,3,4,3,3,3,3,3,4,3,4,5,4,3,1,1,33,"Mujer","Posgrado","Ocupado/a en servicios de salud",4,3,2,1,2,1,2,5,4,2,4,3,2,1,5,3,1,3,5,1,3,5,1,2,4,1,38
"39","Neuromante","Hal 3000","turing","versión fuerte de la analogía","saraza",1,4,4,2,3,4,3,4,4,2,3,3,3,3,3,1,3,7,7,50,"Mujer","Prefiero no decirlo","Ocupado/a en legales",4,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39
"40","Peligro","Avance","Incoherencia","Irracional","Desligue",2,2,1,5,2,5,2,4,4,4,4,4,4,4,4,3,4,9,8,27,"Varón","Universitario o terciario","Ocupado/a en comunicación, arte, deportes, o entretenimiento",4,4,3,3,3,2,1,5,5,5,5,3,1,3,1,1,4,5,5,4,1,5,1,3,3,5,40
"41","procesos.","desarrollo.","minimizar.","vida.","futuro.",5,1,1,4,4,2,4,1,5,5,4,5,4,5,5,3,5,7,7,43,"Varón","Universitario o terciario","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,3,4,3,3,5,5,5,1,5,1,4,2,4,1,4,5,5,3,1,5,3,1,5,1,41
"42","Futuro","Yo Robot","Automatización","Peligro","Herramienta",5,5,1,3,5,5,2,1,2,5,1,5,5,5,5,5,5,5,6,27,"Mujer","Universitario o terciario","Ocupado/a en administración o gestión",4,4,3,2,2,2,2,5,5,5,4,5,1,1,1,1,1,5,5,5,2,1,1,2,1,2,42
"43","Tecnología","Programación","Evolución","Copilot","Riesgo",5,1,1,3,4,5,3,2,4,5,4,5,5,5,5,2,5,6,7,22,"Mujer","Universitario o terciario","Estudiante",4,4,4,4,2,1,3,5,3,4,5,2,1,1,2,1,4,5,5,4,1,3,1,1,3,1,43
"44","tecnología","avance","robótica","máquina","autómata",2,5,4,3,5,3,3,3,4,5,5,4,5,5,5,5,5,4,6,43,"Mujer","Universitario o terciario","Ocupado/a en bibliotecas, educación o capacitación",4,4,4,3,3,2,1,5,4,3,4,3,2,4,5,3,2,3,3,4,2,5,2,5,3,1,44
"45","Superficial","Superfluo","poco durable","coeficiente intelectual","frio",1,2,3,3,2,3,3,3,3,3,2,3,4,3,5,5,4,2,1,43,"Mujer","Universitario o terciario","Estudiante",2,3,2,1,1,1,4,4,4,4,3,4,4,1,2,5,2,3,5,4,5,3,2,1,3,3,45
"46","Tecnología","Ciencia","Accesibilidad","Cambio","Construcción",1,5,4,1,4,4,1,1,3,5,4,3,4,5,5,2,4,7,7,37,"Mujer","Universitario o terciario","Ocupado/a en ciencias sociales, físicas o de la vida",3,3,3,2,2,3,2,5,4,4,4,1,1,2,1,2,4,4,4,4,1,3,1,2,1,1,46
"47","Dominación","Onmipresente","Interconexión","Capacidad propia","Personas",2,4,2,3,4,4,4,4,1,4,3,4,3,4,3,3,1,8,7,35,"Varón","Universitario o terciario","Ocupado/a en reparación, mantenimiento, limpieza",1,4,2,2,3,2,4,4,4,2,4,1,1,1,4,1,4,4,5,2,1,3,1,1,2,2,47
"48","algoritmo","datos","aplicaciones","bots","automatización",1,1,2,1,1,2,1,1,4,5,3,4,4,4,5,4,5,6,6,33,"Varón","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,3,2,2,2,1,1,5,4,1,5,5,1,3,4,1,1,4,5,1,1,5,1,1,1,1,48
"49","Automatización","Sistematicidad","Velocidad","Eficiencia","Incertidumbre",3,2,3,2,5,4,3,2,2,5,4,4,4,4,4,3,4,7,8,24,"Varón","Universitario o terciario","Ocupado/a en ciencias sociales, físicas o de la vida",2,4,2,3,2,1,2,5,4,2,5,2,1,4,5,1,2,5,4,1,1,2,1,3,5,1,49
"50","Facil","Peligro","Ayuda","Velocidad","Atajo",1,5,2,3,5,4,2,3,3,2,2,3,1,3,5,1,2,6,4,31,"Varón","Universitario o terciario","Ocupado/a en bibliotecas, educación o capacitación",4,4,3,2,2,1,1,3,2,1,4,2,1,4,3,1,2,5,5,3,1,5,1,4,4,1,50
"51","Robot","Tecnología","Digital","Investigación","Soluciones",3,3,2,1,2,2,1,2,4,4,2,4,4,5,5,3,5,5,4,46,"Mujer","Universitario o terciario","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,4,2,2,3,1,5,3,3,3,2,1,4,2,2,3,4,3,3,2,5,1,4,4,4,51
"52","Tecnología","Robot","Impersonal","Evolución","Digital",1,4,4,4,2,5,2,3,4,4,3,3,3,4,3,2,3,4,3,36,"Mujer","Universitario o terciario","Ocupado/a en bibliotecas, educación o capacitación",4,4,3,2,1,1,4,5,5,3,4,5,2,2,4,3,2,4,5,3,3,4,1,2,3,3,52
"53","Moderno","Miedo","Calculador","Útil","Potencial",3,2,1,1,5,1,3,1,2,5,4,5,5,5,5,4,3,7,6,23,"Varón","Universitario o terciario","Estudiante",4,4,2,3,2,1,2,4,4,2,4,5,5,1,4,1,1,2,5,1,1,5,4,1,5,2,53
"54","datos","lenguaje","patrones","procesamiento","informacion",3,2,3,2,4,3,4,3,4,4,3,5,5,5,5,3,5,6,8,49,"Varón","Secundario","Ocupado/a en ventas y actividades comerciales",3,3,2,2,1,2,3,4,3,2,4,3,2,4,3,1,5,4,4,3,1,4,1,4,3,2,54
"55","avasallante","ficcion","desconociminto","intrigante","era",4,5,2,2,2,4,2,3,5,4,1,3,4,3,4,2,3,2,2,45,"Mujer","Universitario o terciario","Ocupado/a en ventas y actividades comerciales",4,4,2,1,1,1,3,5,3,1,3,2,1,1,3,4,5,4,4,2,3,3,1,1,4,2,55
"56","Robot","Ciencia","Tecnología","Futuro","Ciencia ficción",3,5,3,2,4,2,1,1,5,4,5,5,5,5,4,5,3,2,2,31,"Mujer","Universitario o terciario","Ocupado/a en comunicación, arte, deportes, o entretenimiento",4,4,4,1,1,1,5,4,5,5,5,1,3,1,1,3,5,4,5,5,3,3,3,1,3,1,56
"57","Herramienta","Recurso","Precaucion","Automatizacion","Deshumanizacion",1,2,3,2,1,3,2,3,3,3,1,2,2,3,5,2,2,5,4,45,"Varón","Universitario o terciario","Ocupado/a en operaciones comerciales o financieras",3,3,3,1,2,1,1,4,4,3,2,3,1,2,2,4,3,2,4,4,2,1,2,3,3,2,57
"58","Skynet","Máquina","Manipulación","Poder","Información",2,3,3,3,4,3,1,2,4,5,3,4,4,5,4,3,4,6,5,48,"Varón","Universitario o terciario","Ocupado/a en comunicación, arte, deportes, o entretenimiento",4,4,3,2,2,1,4,5,3,1,4,3,2,1,4,2,3,4,5,1,2,4,1,2,2,2,58
"59","falso","informacion","tecnologia","robot","futuro",3,5,5,5,4,5,2,5,4,3,2,4,4,4,4,1,4,7,5,24,"Mujer","Universitario o terciario","Ocupado/a en ventas y actividades comerciales",4,4,4,2,3,4,4,5,1,4,5,1,1,3,1,1,4,4,4,4,2,3,1,2,2,1,59
"60","Robot","eficiencia","inhumano","acero","rapidez",4,1,3,4,2,4,3,4,4,2,1,3,2,4,4,2,3,1,1,23,"Varón","Universitario o terciario","Estudiante",4,4,3,1,1,2,3,5,4,2,5,1,1,1,4,2,4,4,4,4,2,2,1,1,4,1,60
"61","asistencia","soporte","desarrollo","co-piloto","refuerzo",3,1,1,2,2,2,3,1,1,5,4,5,3,4,4,5,5,7,7,24,"Varón","Universitario o terciario","Estudiante",3,4,1,4,4,1,4,4,2,2,4,1,1,3,4,1,5,4,3,2,1,2,2,2,5,4,61
"62","Agilidad","Solución","Tecnología","Reemplazo","Entendimiento",3,4,3,2,3,2,2,3,2,4,4,4,1,3,4,3,3,8,8,37,"Mujer","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,3,2,2,1,4,5,5,3,3,1,1,3,2,3,3,4,5,2,1,5,1,3,3,2,62
"63","Deshumanización","Incontrolable","Irresponsabilidad social","Aceleración","Cambio de paradigma",1,5,4,5,5,5,3,5,5,5,1,5,4,4,5,1,2,4,3,24,"Mujer","Universitario o terciario","Estudiante",4,4,4,1,2,1,4,5,1,5,4,2,1,3,1,1,3,4,4,4,2,2,1,4,1,2,63
"64","Avance","Utilidad","Miedo","Pérdida","Automatización",1,5,1,3,3,4,1,1,1,3,1,5,1,5,5,1,2,2,4,22,"Mujer","Universitario o terciario","Ocupado/a en administración o gestión",4,4,3,2,2,1,1,3,3,5,5,3,3,1,1,4,1,3,5,5,1,3,1,1,1,1,64
"65","Máquinas","Velocidad","Volumen","Dificultad","Sesgo",2,4,2,1,4,4,2,1,4,5,3,5,5,5,5,4,4,6,6,29,"Mujer","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,4,4,2,3,2,5,4,2,5,3,1,1,3,5,3,5,5,2,2,4,1,1,3,1,65
"66","AI","Programación","Sesgo","Buscador","Síntesis",3,3,3,3,4,4,3,3,3,4,3,4,3,4,4,3,4,4,4,23,"Mujer","Universitario o terciario","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,4,2,1,1,3,5,4,3,4,1,1,4,2,1,4,5,4,1,4,2,1,4,2,2,66
"67","Desarrollo","Herramienta","Cognicion","Innovación","Aprendizaje",1,1,1,1,2,2,1,1,1,5,3,5,3,5,4,4,4,9,9,43,"Mujer","Posgrado","Entre trabajos o buscando empleo",2,4,4,2,2,3,3,5,5,1,5,1,1,1,5,1,4,5,5,5,1,2,1,1,5,5,67
"68","Tecnología","Control","Engaño","Utilidad","Miedo",3,5,3,4,2,5,3,4,3,4,2,4,4,4,5,2,2,4,5,22,"Varón","Universitario o terciario","Ocupado/a en ventas y actividades comerciales",4,4,3,1,2,2,3,4,4,4,4,3,2,2,3,1,4,4,5,4,1,2,2,2,1,4,68
"69","Chat gpt","Ayuda","Tecnologia","Preocupacion","Aprendizaje",2,2,1,1,3,3,2,1,3,4,2,5,5,5,5,3,5,8,9,22,"Mujer","Universitario o terciario","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,3,3,1,2,4,5,2,2,3,1,1,4,2,2,5,5,3,1,1,3,1,4,4,3,69
"70","Mente","Rosa","Sesgo","Tecla","Código",3,4,4,3,4,4,3,2,4,3,4,3,3,3,3,3,4,7,6,35,"Mujer","Universitario o terciario","Ocupado/a en matemáticas o computación",4,4,2,1,1,1,3,3,2,3,3,3,2,3,2,3,4,3,3,3,4,3,3,4,2,3,70
"71","Aprendizajes","Desarrollo","Tecnologia","Problematización","Reflexión",5,2,1,2,1,2,3,1,3,4,2,3,4,5,3,4,4,5,6,60,"Varón","Posgrado","Ocupado/a en bibliotecas, educación o capacitación",4,4,2,2,2,1,3,5,4,1,3,1,1,1,3,1,4,3,5,3,1,1,1,1,3,3,71
"72","herramienta","creatividad","información","optimización","big data",3,1,1,1,3,2,3,1,4,5,4,5,5,5,4,4,5,6,7,60,"Mujer","Posgrado","Ocupado/a en bibliotecas, educación o capacitación",3,4,4,4,4,4,3,5,5,4,5,3,1,3,1,1,4,5,5,3,1,3,1,5,4,1,72
"73","desarrollo","evolución","soluciones","peligro","desafio",1,4,3,4,4,5,5,4,3,5,3,3,5,5,5,3,3,4,8,39,"Varón","Universitario o terciario","Ocupado/a en administración o gestión",4,4,2,2,1,1,3,4,3,4,5,3,2,1,2,2,3,3,5,2,3,4,2,2,3,1,73
"74","Actualidad","Desinteligencia","Miedo","Mentira","Control",2,2,2,1,3,3,1,3,3,2,1,1,2,5,2,3,1,1,1,47,"Mujer","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,2,1,1,1,1,5,3,2,4,1,5,1,3,1,4,5,2,4,1,1,5,3,3,5,74
"75","Inteligencia","Utilidad","Modelo","Conveniencia","Rentabilidad",4,5,3,4,4,2,4,2,5,3,1,1,4,4,4,1,2,4,4,32,"Varón","Universitario o terciario","Ocupado/a en administración o gestión",4,4,3,2,3,1,1,4,4,4,5,3,1,1,2,1,2,4,5,4,1,3,3,1,3,1,75
"76","Agilidad","Resolución","Sesgos","Facilidad","Regulación",1,4,3,4,1,4,1,2,4,3,2,3,3,5,5,1,4,6,7,29,"Mujer","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,3,4,3,3,4,2,5,4,3,4,4,4,2,2,4,2,5,5,1,3,4,1,2,3,76
"77","ordenadores","maquina","calculo","transhumano","rapidez",4,5,1,4,3,3,1,4,5,5,3,3,4,3,4,1,4,2,1,57,"Varón","Universitario o terciario","Ocupado/a en servicios de salud",2,3,1,1,2,2,1,5,3,3,2,3,1,1,4,1,3,3,3,3,3,5,1,3,2,3,77
"78","Automatización","Promt","Agilidad","Innovación","Eficiencia",5,1,1,1,5,2,4,1,2,5,5,5,5,5,5,5,5,5,6,41,"Mujer","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,3,3,3,4,1,5,3,4,5,4,1,1,2,3,1,4,5,3,1,4,1,2,2,1,78
"79","Chatbot","Modelo","Espejo","Educación","Velocidad",3,2,3,3,4,3,3,2,3,4,3,5,5,4,5,4,5,7,7,30,"Varón","Universitario o terciario","Entre trabajos o buscando empleo",3,4,2,4,3,3,1,5,4,2,3,5,1,1,3,1,2,4,3,2,1,5,2,2,1,3,79
"80","Aprendizaje automático","Imágenes creadas","Bots","Automatización","Robot",3,4,1,1,5,4,5,2,5,5,4,5,5,5,5,3,5,7,9,23,"Varón","Universitario o terciario","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,2,4,4,1,2,2,3,2,4,2,2,5,2,4,5,4,4,1,1,2,1,4,2,5,80
"81","Internet","Robótico","Auonomía","Algoritmos","Retroalimentación",1,1,1,1,4,1,1,1,1,3,1,3,3,4,1,3,3,7,8,28,"Mujer","Universitario o terciario","Ocupado/a en matemáticas o computación",4,4,2,3,1,3,3,4,3,1,3,2,3,2,3,5,5,3,5,4,5,5,2,2,1,3,81
"82","Futuro","Eficiencia","Digitalización","Inseguridad","Aislación",2,1,2,1,5,5,5,1,3,4,5,5,5,5,5,5,5,7,9,34,"Varón","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,2,3,3,4,3,5,5,3,4,2,1,1,4,2,4,5,5,3,1,3,4,1,4,1,82
"83","Avance","Facilidad","Posibilidad","Regulación","Progreso",3,1,1,4,5,4,1,1,3,5,3,5,5,5,5,2,5,7,7,24,"Varón","Universitario o terciario","Estudiante",4,4,2,3,2,1,3,5,4,3,4,2,1,1,4,1,4,3,5,3,2,4,1,2,2,1,83
"84","Novedad","Internet","Robot","Global","Raro",1,4,1,3,3,3,3,2,2,4,2,2,3,4,4,3,5,5,8,22,"Mujer","Universitario o terciario","Ocupado/a en bibliotecas, educación o capacitación",4,4,4,2,1,1,1,5,4,5,5,2,1,2,1,1,2,3,5,4,1,5,1,5,1,1,84
"85","Tecnología","Desarrollo","Posibilidades","Soluciones","Oportunidad",3,3,1,2,5,2,5,1,5,5,3,4,5,4,4,3,4,4,4,33,"Varón","Universitario o terciario","Ocupado/a en administración o gestión",4,4,3,3,2,2,3,5,1,3,4,1,1,3,2,1,4,4,3,3,2,2,1,5,2,2,85
