"","id","estimulo","tiempo","carrera","edad","medio","medios_cursos","medios_diarios","medios_formacion","medios_sitios","nivel_estudios","sexo","carrera2"
"34","-M2pubE2ecDc0cn9cfTU","Inteligencia artificial",1584673526421,"Matemáticas",20,"3blue1brown",TRUE,FALSE,FALSE,TRUE,"uni_curso","varon","Física, comput. e ingeniería"
"35","-M2qFJ6T6V28WD32XcsB","Inteligencia artificial",1584679319729,"Urbanismo, Geografía y Arquitectura",26,"Un compañero del trabajo",FALSE,FALSE,FALSE,TRUE,"uni_curso","mujer","Sociales y empresariales"
"36","-M2ulnBkfb-NdKeEABbo","Inteligencia artificial",1584753839664,"Otras Ingenierías",25,NA,TRUE,FALSE,FALSE,FALSE,"uni_curso","varon","Física, comput. e ingeniería"
"37","-M2unhBUHv83MkqDKjBo","Inteligencia artificial",1584755668009,"Derecho",22,NA,TRUE,FALSE,FALSE,FALSE,"uni_curso","varon","Sociales y empresariales"
"38","-M2xg2mPde6HRW2gWYrA","Inteligencia artificial",1584803857397,"Otras Humanidades",35,"Mit rewiev",TRUE,FALSE,TRUE,TRUE,"uni_completo","varon","Humanidades"
"39","-M2xjjMpSsLTMt2tXGDt","Inteligencia artificial",1584804947810,"Otras Ingenierías",39,"Textos académicos",FALSE,FALSE,TRUE,FALSE,"uni_curso","mujer","Física, comput. e ingeniería"
"40","-M2xuNL8n-yA2Al5IRKB","Inteligencia artificial",1584807749235,"Arte",29,"Internet",FALSE,FALSE,FALSE,TRUE,"uni_curso","mujer","Humanidades"
"41","-M2y5cHBFijHTMaCvyF6","Inteligencia artificial",1584810404810,"Economía, Negocios y Administración",40,"Sas software y soluciones de analitica",FALSE,FALSE,FALSE,TRUE,"uni_curso","mujer","Sociales y empresariales"
"42","-M2zuMtoN3yX4d6pW4zZ","Inteligencia artificial",1584841273202,"Otras Humanidades",34,"Redes  sociales y periódicos",TRUE,TRUE,FALSE,FALSE,"uni_completo","mujer","Humanidades"
"43","-M3-BaDuKvXift-fP_2Z","Inteligencia artificial",1584846009743,"Otras Ciencias Sociales y empresariales",25,"INFOBAE",FALSE,TRUE,TRUE,FALSE,"uni_curso","mujer","Sociales y empresariales"
"44","-M3-OpTILQrT22YVG017","Inteligencia artificial",1584849538527,"Sociología y Política",22,"Crónica, infobae, argentinos online",TRUE,TRUE,FALSE,TRUE,"uni_curso","mujer","Sociales y empresariales"
"45","-M3-wCHatIqU2xkbBA15","Inteligencia artificial",1584858457568,"Comunicación y Medios",23,NA,FALSE,FALSE,TRUE,FALSE,"uni_curso","mujer","Sociales y empresariales"
"46","-M31vMlVJylLVAX042od","Inteligencia artificial",1584891595835,"Química",38,"Buscadores",FALSE,FALSE,FALSE,TRUE,"uni_completo","mujer","Física, comput. e ingeniería"
"47","-M327IC9FEA1hloPx769","Inteligencia artificial",1584895168517,"Historia y Antropología",23,"You tube",FALSE,TRUE,FALSE,TRUE,"uni_curso","mujer","Humanidades"
"48","-M327XCoCl8iEc4RI2wn","Inteligencia artificial",1584895176166,"Otras Ciencias Sociales y empresariales",29,"Ninguno en especial",FALSE,TRUE,FALSE,TRUE,"uni_completo","mujer","Sociales y empresariales"
"49","-M332vBoWfVGSMA-QvLi","Inteligencia artificial",1584910791146,"Computación e Informática",20,"Nature",TRUE,FALSE,FALSE,TRUE,"uni_curso","mujer","Física, comput. e ingeniería"
"50","-M33i_ThEOTL3z-8DLKG","Inteligencia artificial",1584921975221,"Sociología y Política",24,"Universidad",FALSE,TRUE,TRUE,FALSE,"uni_curso","mujer","Sociales y empresariales"
"51","-M3427nZjtQyFG-JqjAn","Inteligencia artificial",1584927406305,"Otras Humanidades",25,"Artículos periodísticos",TRUE,TRUE,FALSE,TRUE,"uni_curso","mujer","Humanidades"
"52","-M3446M4bsV6BsIXd7Nf","Inteligencia artificial",1584924883673,"Otras Ingenierías",26,"Youtube",TRUE,FALSE,FALSE,TRUE,"uni_curso","varon","Física, comput. e ingeniería"
"53","-M3ms92KMG433cWx73Wd","Inteligencia artificial",1585696237544,"Otras Ingenierías",27,"Google",TRUE,FALSE,FALSE,FALSE,"uni_curso","varon","Física, comput. e ingeniería"
"54","-M3t4Jqup2nQDOcpkC8l","Inteligencia artificial",1585800201591,"Turismo, Eventos y Gastronomía",25,NA,FALSE,FALSE,FALSE,TRUE,"uni_completo","varon","Sociales y empresariales"
"55","-M3vufbKu1--Lc2bgBC-","Inteligencia artificial",1585847660568,"Arte",44,"Internet",TRUE,TRUE,FALSE,TRUE,"uni_completo","mujer","Humanidades"
"56","-M3wEfnQGCY9Ms58mNAx","Inteligencia artificial",1585853479814,"Medio ambiente",21,NA,FALSE,TRUE,FALSE,TRUE,"uni_curso","mujer","Física, comput. e ingeniería"
"57","-M3wHrXTcq319J5ULr4Z","Inteligencia artificial",1585854175514,"Psicología",19,"Youtube",FALSE,FALSE,TRUE,TRUE,"uni_curso","mujer","Psicología y medicina"
"58","-M46vWAtpLWpJxqgmHUK","Inteligencia artificial",1586049537479,"Derecho",37,"Face, Universidad Nacional de Lomas de ZAmora Facultad de ingenieria",TRUE,FALSE,FALSE,TRUE,"uni_curso","mujer","Sociales y empresariales"
"59","-M49FZMqE4c4ar6M73lN","Inteligencia artificial",1586088553711,"Matemáticas",28,NA,TRUE,FALSE,FALSE,FALSE,"posgrado_curso","mujer","Física, comput. e ingeniería"
"60","-M49rxxyhoW5xgdBNa0v","Inteligencia artificial",1586098808615,"Educación",40,"Internet, revistas digitales",FALSE,TRUE,FALSE,TRUE,"uni_curso","mujer","Sociales y empresariales"
"61","-M4ABIGu_-cRhOGJ3NxJ","Inteligencia artificial",1586104276081,"Veterinarias",22,NA,TRUE,TRUE,FALSE,TRUE,"uni_curso","mujer","Agrícolas"
"62","-M4ASo2XPfFH2ttOIhnA","Inteligencia artificial",1586108438000,"Computación e Informática",20,"Busco en Google",TRUE,TRUE,TRUE,TRUE,"uni_curso","mujer","Física, comput. e ingeniería"
"63","-M4BTG5Z_ix9QGfDEOxC","Inteligencia artificial",1586125101985,"Sociología y Política",22,"infobae y Clarin",FALSE,TRUE,FALSE,FALSE,"uni_curso","varon","Sociales y empresariales"
"64","-M4C0ns9siZEVsz2qby0","Inteligencia artificial",1586135054159,"Computación e Informática",38,"La nación",FALSE,FALSE,TRUE,FALSE,"uni_completo","mujer","Física, comput. e ingeniería"
"65","-M4D0gborpciv21zSQQo","Inteligencia artificial",1586151772981,"Biología",39,NA,FALSE,FALSE,TRUE,FALSE,"uni_completo","mujer","Física, comput. e ingeniería"
"66","-M4D7ZoTDQIfkdz0QVA9","Inteligencia artificial",1586153622610,"Otras Humanidades",33,"Internet",FALSE,TRUE,FALSE,TRUE,"uni_curso","mujer","Humanidades"
"67","-M4EYUy59HMuDYAVQiY6","Inteligencia artificial",1586177240561,"Sociología y Política",36,"Slack, twitter, cursos en datos",TRUE,FALSE,FALSE,TRUE,"posgrado_curso","mujer","Sociales y empresariales"
"68","-M4FK5upcnrepWLENZcO","Inteligencia artificial",1586190406682,"Matemáticas",36,"Clarin",TRUE,TRUE,FALSE,TRUE,"uni_completo","varon","Física, comput. e ingeniería"
"69","-M4H5HYLoPzRRJxflHdw","Inteligencia artificial",1586220163485,"Otras Médicas y de la Salud",44,"Google",TRUE,FALSE,FALSE,FALSE,"uni_curso","mujer","Psicología y medicina"
"70","-M4I6KPtvqoTbgOf9Z_q","Inteligencia artificial",1586237216988,"Educación",21,"Google",TRUE,TRUE,TRUE,TRUE,"uni_curso","mujer","Sociales y empresariales"
"71","-M4KIzz5gS5a9Llm36fN","Inteligencia artificial",1586274072964,"Biotecnología",24,"Clarín, infobae, la nación",FALSE,TRUE,FALSE,FALSE,"posgrado_curso","mujer","Física, comput. e ingeniería"
"72","-M4L_XzpNOuxu5-DO1NP","Inteligencia artificial",1586295547427,"Sociología y Política",38,"Stack",TRUE,TRUE,FALSE,TRUE,"posgrado_completo","varon","Sociales y empresariales"
"73","-M4MkyqckNdDW3sUYZbN","Inteligencia artificial",1586315270260,"Educación",22,NA,TRUE,FALSE,TRUE,TRUE,"uni_curso","mujer","Sociales y empresariales"
"74","-M4PXZotyOSfaWiyPCL3","Inteligencia artificial",1586361275686,"Psicología",38,"Acámica - TedX Talks - Art. varios",TRUE,TRUE,FALSE,TRUE,"posgrado_completo","mujer","Psicología y medicina"
"75","-M4Pl8NbJGm90q9RP7_l","Inteligencia artificial",1586365615375,"Ciencias de la Salud",28,NA,FALSE,TRUE,FALSE,FALSE,"uni_curso","mujer","Psicología y medicina"
"76","-M4QYGVNDymcwvIy34kZ","Inteligencia artificial",1586378591004,"Psicología",25,"Revistas científicas, Steven Pinker, teoría computacional de la mente.",TRUE,FALSE,TRUE,FALSE,"uni_curso","varon","Psicología y medicina"
"77","-M4QuCAcScC-9xZQIpvk","Inteligencia artificial",1586384512009,"Turismo, Eventos y Gastronomía",23,"Vorterix",FALSE,FALSE,FALSE,TRUE,"uni_curso","mujer","Sociales y empresariales"
"78","-M4XVcatjvtyJgVlsPyB","Inteligencia artificial",1586490546749,"Historia y Antropología",26,"Amor y rabia (anarquista)",TRUE,TRUE,FALSE,TRUE,"posgrado_curso","varon","Humanidades"
"79","-M4a1nIE15MiuN4LbE0K","Inteligencia artificial",1586554443767,"Otras Ciencias Sociales y empresariales",35,"El capital Marx",TRUE,FALSE,FALSE,FALSE,"uni_curso","varon","Sociales y empresariales"
"80","-M4c2Qrtj5zPj18aOy4b","Inteligencia artificial",1586588444349,"Psicología",30,"Clarin",FALSE,TRUE,FALSE,FALSE,"uni_completo","mujer","Psicología y medicina"
"81","-M53AyAMgtBqT3jz2612","Inteligencia artificial",1587060401830,"Psicología",18,"Amigos",TRUE,FALSE,FALSE,FALSE,"uni_curso","mujer","Psicología y medicina"
"82","-M5SUkUrSegJJPwm6x5-","Inteligencia artificial",1587485113686,"Turismo, Eventos y Gastronomía",34,"Grupos de Facebook",FALSE,FALSE,TRUE,TRUE,"posgrado_curso","mujer","Sociales y empresariales"
"83","-M5V3AGxZwThM8aBozNW","Inteligencia artificial",1587528216279,"Psicología",27,"Psicología cognitiva",FALSE,TRUE,TRUE,FALSE,"uni_completo","varon","Psicología y medicina"
"84","-M5XUIJYlLH8iTGBQODq","Inteligencia artificial",1587568687851,"Otras Ciencias Sociales y empresariales",29,"Apple, Google",FALSE,FALSE,FALSE,TRUE,"posgrado_curso","varon","Sociales y empresariales"
"85","-M5cQ3AW1Q-s9z2ikHM0","Inteligencia artificial",1587668392411,"Arte",25,"Youtube",TRUE,TRUE,FALSE,TRUE,"uni_curso","varon","Humanidades"
"86","-M5iWVLmEfgMYAzrwsYw","Inteligencia artificial",1587770682419,"Sociología y Política",33,"Facebook",FALSE,TRUE,FALSE,FALSE,"posgrado_curso","mujer","Sociales y empresariales"
"87","-M5j1X8eXKnXE7aTbTdG","Inteligencia artificial",1587779419889,"Turismo, Eventos y Gastronomía",24,"Facebook",FALSE,TRUE,FALSE,FALSE,"uni_curso","mujer","Sociales y empresariales"
"88","-M5lUcRXQoDg4tAPkHzm","Inteligencia artificial",1587820590285,"Educación",34,"Mi Instituto",TRUE,TRUE,TRUE,TRUE,"uni_curso","mujer","Sociales y empresariales"
"89","-M5nokGcTXyIX3EB84Qb","Inteligencia artificial",1587859568544,"Otras Ciencias Sociales y empresariales",24,"General",TRUE,TRUE,FALSE,TRUE,"uni_curso","varon","Sociales y empresariales"
"90","-M5nzqk-P8ofooS5mWGJ","Inteligencia artificial",1587862194196,"Educación",34,"Investigación de SciELO y redalyc",TRUE,FALSE,FALSE,FALSE,"uni_curso","mujer","Sociales y empresariales"
"91","-M5uG7Bj5wWHmH3peUVA","Inteligencia artificial",1587967661687,"Otras Humanidades",39,NA,TRUE,FALSE,TRUE,FALSE,"uni_completo","mujer","Humanidades"
"92","-M601iQG_FHnQWLWxJNI","Inteligencia artificial",1588081127561,"Comunicación y Medios",21,"el gato y la caja",FALSE,TRUE,TRUE,TRUE,"uni_curso","mujer","Sociales y empresariales"
"93","-M74K7zgg_3Lr91ARnwx","Inteligencia artificial",1589227141211,"Turismo, Eventos y Gastronomía",25,"Redes",TRUE,TRUE,FALSE,TRUE,"uni_curso","mujer","Sociales y empresariales"
"94","-M7CnrDaD3w62__AtHjd","Inteligencia artificial",1589369454886,"Urbanismo, Geografía y Arquitectura",47,"Internet",FALSE,FALSE,FALSE,TRUE,"posgrado_curso","mujer","Sociales y empresariales"
"95","-M7GC-r9_0clU1VmSHX-","Inteligencia artificial",1589426359683,"Computación e Informática",37,NA,TRUE,FALSE,TRUE,FALSE,"posgrado_completo","varon","Física, comput. e ingeniería"
"96","-M7J1bsupWk8MK9mjlN4","Inteligencia artificial",1589473867398,"Química",30,NA,TRUE,FALSE,FALSE,TRUE,"uni_completo","mujer","Física, comput. e ingeniería"
"97","-M7PaJRgR_0iiNtJgx67","Inteligencia artificial",1589583509445,"Otras Naturales y Exactas",18,"Youtube",FALSE,FALSE,FALSE,TRUE,"uni_curso","mujer","Física, comput. e ingeniería"
"98","-M7QTou1Fi7JHVKooVe5","Inteligencia artificial",1589598691479,"Otras Médicas y de la Salud",24,"YouTube",FALSE,TRUE,FALSE,TRUE,"uni_curso","varon","Psicología y medicina"
"99","-M7QeeMBW5LwDup1jFYn","Inteligencia artificial",1589601691908,"Biotecnología",38,"Cualquier página web",TRUE,FALSE,TRUE,TRUE,"uni_curso","mujer","Física, comput. e ingeniería"
"100","-M7VqzJDHqFpuV2gApuU","Inteligencia artificial",1589689068048,"Otras Médicas y de la Salud",32,"Tn",FALSE,FALSE,TRUE,FALSE,"uni_curso","mujer","Psicología y medicina"
"101","-M7j7ikHFA5J707rWJKm","Inteligencia artificial",1589928423889,"Economía, Negocios y Administración",37,"Web",TRUE,TRUE,FALSE,TRUE,"uni_completo","mujer","Sociales y empresariales"
"102","-M7oXXQspTejbmqMgf9j","Inteligencia artificial",1590019186671,"Derecho",36,"Cursos online",TRUE,FALSE,TRUE,TRUE,"posgrado_curso","mujer","Sociales y empresariales"
"103","-M7t9-UX80Czh95pfmu5","Inteligencia artificial",1590096280409,"Sociología y Política",26,"TN",TRUE,TRUE,FALSE,FALSE,"uni_curso","mujer","Sociales y empresariales"
"104","-M7xrhauwqo0C11_DjEb","Inteligencia artificial",1590175356420,"Educación",36,"Google",FALSE,FALSE,TRUE,FALSE,"uni_completo","mujer","Sociales y empresariales"
"105","-M7yQGVYH9xt4Jw0AE3Q","Inteligencia artificial",1590184764767,"Psicología",39,"Universidad Tecnologica Nacional (UTN)",TRUE,FALSE,FALSE,TRUE,"uni_completo","mujer","Psicología y medicina"
"106","-M7z4In1Jppqwk8SJ9Og","Inteligencia artificial",1590195943940,"Psicología",50,"La nación, Clarín, página 12,la capital,la voz del interior,el ribuno,la gaceta,los andes,la razón,NYTIMES",TRUE,TRUE,TRUE,FALSE,"uni_completo","mujer","Psicología y medicina"
"107","-M8-AjthWoLIbai0yY45","Inteligencia artificial",1590214497211,"Arte",38,"Canales de Youtube sobre ciencias tutoriales y contenido de internet en general",FALSE,FALSE,FALSE,TRUE,"uni_completo","varon","Humanidades"
"108","-M80VF1jrKOC48ZlLqq6","Inteligencia artificial",1590236759916,"Lengua y Literatura",36,NA,TRUE,TRUE,FALSE,TRUE,"uni_completo","mujer","Humanidades"
"109","-M8kkaZwPDm57tmr3M0N","Inteligencia artificial",1591029225281,"Sociología y Política",29,NA,FALSE,TRUE,FALSE,TRUE,"uni_curso","mujer","Sociales y empresariales"
"110","-M8n8EBzhb_PTHgVNVE1","Inteligencia artificial",1591069460448,"Arte",21,"Google",FALSE,FALSE,FALSE,TRUE,"posgrado_curso","mujer","Humanidades"
"111","-M8nBAAVWahQnRXaT6hF","Inteligencia artificial",1591070251373,"Derecho",21,"Internet",FALSE,FALSE,FALSE,TRUE,"uni_curso","varon","Sociales y empresariales"
"112","-M8rTMCoE87MfsbZ1-FB","Inteligencia artificial",1591142173727,"Lengua y Literatura",26,"Libros",TRUE,FALSE,FALSE,FALSE,"uni_curso","mujer","Humanidades"
"113","-M8re9yOAXybijbPoLlj","Inteligencia artificial",1591145179767,"Otras Ciencias Sociales y empresariales",21,NA,FALSE,TRUE,FALSE,TRUE,"uni_curso","mujer","Sociales y empresariales"
"114","-M8v_LabYMJ1vpxMg9cx","Inteligencia artificial",1591211105077,"Otras Ingenierías",26,"Technology Review MIT",TRUE,FALSE,FALSE,FALSE,"uni_completo","varon","Física, comput. e ingeniería"
"115","-M8wR5o-n3dNpOWPYMkj","Inteligencia artificial",1591225517803,"Educación",21,"Clarín, Infobae, la nación y Google",FALSE,TRUE,FALSE,FALSE,"uni_curso","mujer","Sociales y empresariales"
"116","-M8wXK86KmluD4HigccX","Inteligencia artificial",1591227193323,"Biología",25,NA,TRUE,TRUE,TRUE,TRUE,"uni_curso","mujer","Física, comput. e ingeniería"
"117","-M8wY08Z9Uv8vTXCoAUh","Inteligencia artificial",1591227386738,"Educación",38,"World economic forum",FALSE,TRUE,FALSE,TRUE,"uni_completo","mujer","Sociales y empresariales"
"118","-M8xGlp679KKe71_cAwx","Inteligencia artificial",1591239498685,"Otras Ciencias Sociales y empresariales",35,NA,FALSE,TRUE,FALSE,TRUE,"uni_curso","mujer","Sociales y empresariales"
"119","-M8yoL6USCtgW9GSY2Ms","Inteligencia artificial",1591265297828,"Veterinarias",35,"IFLS",TRUE,TRUE,FALSE,TRUE,"uni_completo","mujer","Agrícolas"
"120","-M8zvqlDfBmx2lqo6l4h","Inteligencia artificial",1591284208006,"Otras Humanidades",29,"Redes",TRUE,FALSE,FALSE,TRUE,"uni_curso","mujer","Humanidades"
"121","-M9-RwYyG_zIEwVLGkAz","Inteligencia artificial",1591292698661,"Comunicación y Medios",23,"Mi hermano",FALSE,FALSE,FALSE,FALSE,"uni_curso","mujer","Sociales y empresariales"
"122","-M9-Y4Oc69RDIXhZ_biF","Inteligencia artificial",1591294376737,"Comunicación y Medios",25,NA,FALSE,FALSE,FALSE,FALSE,"uni_completo","mujer","Sociales y empresariales"
"123","-M9111neup8p37KU2IZQ","Inteligencia artificial",1591319019325,"Comunicación y Medios",30,NA,FALSE,FALSE,FALSE,FALSE,"uni_completo","mujer","Sociales y empresariales"
"124","-M91FmqtGhjoFqxi1vuu","Inteligencia artificial",1591323142310,"Computación e Informática",28,"Clarín, Google en general, perfiles de face e insta sobre tecnología e innovación",TRUE,TRUE,FALSE,TRUE,"uni_completo","mujer","Física, comput. e ingeniería"
"125","-M93POzzSgSVEZuNWvmr","Inteligencia artificial",1591358697007,"Economía, Negocios y Administración",35,NA,TRUE,FALSE,FALSE,TRUE,"uni_curso","mujer","Sociales y empresariales"
"126","-M94IamQ5ldVb0l0Rtrd","Inteligencia artificial",1591374184214,"Comunicación y Medios",39,"Investigaciones académico",TRUE,TRUE,TRUE,TRUE,"uni_completo","mujer","Sociales y empresariales"
"127","-M94MS0N2LgxSyo7YKWN","Inteligencia artificial",1591374697284,"Turismo, Eventos y Gastronomía",29,"Congresos y convenciones de universidades, Clarin, Google (noticias seleccionadas), blogs de investigaciones",TRUE,TRUE,TRUE,TRUE,"uni_completo","mujer","Sociales y empresariales"
"128","-M94Osr2e-yQV8j9BtUf","Inteligencia artificial",1591375820043,"Comunicación y Medios",26,"Infotecnology, redes sociales",FALSE,TRUE,TRUE,TRUE,"uni_completo","mujer","Sociales y empresariales"
"129","-M94hJn0_DLXD_CrOdcu","Inteligencia artificial",1591380863092,"Economía, Negocios y Administración",37,"Twitter",FALSE,FALSE,TRUE,TRUE,"posgrado_curso","mujer","Sociales y empresariales"
"130","-M95hQ-GJUGOTMHbM22k","Inteligencia artificial",1591397415509,"Otras Ciencias Sociales y empresariales",34,"Posteos de Facebook",FALSE,TRUE,TRUE,TRUE,"uni_completo","mujer","Sociales y empresariales"
"131","-M95i-_Ay1hDy_Ea4XLc","Inteligencia artificial",1591397951505,"Computación e Informática",36,NA,FALSE,FALSE,FALSE,FALSE,"uni_completo","varon","Física, comput. e ingeniería"
"132","-M95x9vN6582CjGZb63e","Inteligencia artificial",1591401966201,"Psicología",23,"Google",FALSE,TRUE,FALSE,TRUE,"uni_curso","mujer","Psicología y medicina"
"133","-M98zFWpozyoM73aVMbD","Inteligencia artificial",1591452821988,"Psicología",22,NA,FALSE,FALSE,TRUE,FALSE,"uni_completo","mujer","Psicología y medicina"
"134","-M9A3dmaceFmggSEJFtv","Inteligencia artificial",1591470853556,"Economía, Negocios y Administración",23,"google",TRUE,TRUE,TRUE,TRUE,"uni_curso","mujer","Sociales y empresariales"
"135","-M9AaILazmUpfC6T_LnY","Inteligencia artificial",1591479875340,"Matemáticas",22,NA,FALSE,FALSE,FALSE,TRUE,"uni_curso","mujer","Física, comput. e ingeniería"
"136","-M9B0x6zx2frCUP1cOOV","Inteligencia artificial",1591486788580,"Arte",40,"Stack Overflow",FALSE,FALSE,FALSE,TRUE,"uni_completo","mujer","Humanidades"
"137","-M9BI1StQ8LGZRr391NM","Inteligencia artificial",1591491572858,"Física",30,NA,TRUE,FALSE,FALSE,FALSE,"uni_completo","otro","Física, comput. e ingeniería"
