"","id","orden","palabra","evoc_id"
"189",38,4,"desconocimiento","38-4"
"190",38,5,"herramienta","38-5"
"191",39,1,"neuromante","39-1"
"192",39,2,"hal 3000","39-2"
"193",39,3,"turing","39-3"
"194",39,4,"versión fuerte de la analogía","39-4"
"195",39,5,"saraza","39-5"
"196",40,1,"peligro","40-1"
"197",40,2,"avance","40-2"
"198",40,3,"incoherencia","40-3"
"199",40,4,"irracional","40-4"
"200",40,5,"desligue","40-5"
"201",41,1,"procesos.","41-1"
"202",41,2,"desarrollo.","41-2"
"203",41,3,"minimizar.","41-3"
"204",41,4,"vida.","41-4"
"205",41,5,"futuro.","41-5"
"206",42,1,"futuro","42-1"
"207",42,2,"yo robot","42-2"
"208",42,3,"automatización","42-3"
"209",42,4,"peligro","42-4"
"210",42,5,"herramienta","42-5"
"211",43,1,"tecnología","43-1"
"212",43,2,"programación","43-2"
"213",43,3,"evolución","43-3"
"214",43,4,"copilot","43-4"
"215",43,5,"riesgo","43-5"
"216",44,1,"tecnología","44-1"
"217",44,2,"avance","44-2"
"218",44,3,"robótica","44-3"
"219",44,4,"máquina","44-4"
"220",44,5,"autómata","44-5"
"221",45,1,"superficial","45-1"
"222",45,2,"superfluo","45-2"
"223",45,3,"poco durable","45-3"
"224",45,4,"coeficiente intelectual","45-4"
"225",45,5,"frio","45-5"
"226",46,1,"tecnología","46-1"
"227",46,2,"ciencia","46-2"
"228",46,3,"accesibilidad","46-3"
"229",46,4,"cambio","46-4"
"230",46,5,"construcción","46-5"
"231",47,1,"dominación","47-1"
"232",47,2,"onmipresente","47-2"
"233",47,3,"interconexión","47-3"
"234",47,4,"capacidad propia","47-4"
"235",47,5,"personas","47-5"
"236",48,1,"algoritmo","48-1"
"237",48,2,"datos","48-2"
"238",48,3,"aplicaciones","48-3"
"239",48,4,"bots","48-4"
"240",48,5,"automatización","48-5"
"241",49,1,"automatización","49-1"
"242",49,2,"sistematicidad","49-2"
"243",49,3,"velocidad","49-3"
"244",49,4,"eficiencia","49-4"
"245",49,5,"incertidumbre","49-5"
"246",50,1,"facil","50-1"
"247",50,2,"peligro","50-2"
"248",50,3,"ayuda","50-3"
"249",50,4,"velocidad","50-4"
"250",50,5,"atajo","50-5"
"251",51,1,"robot","51-1"
"252",51,2,"tecnología","51-2"
"253",51,3,"digital","51-3"
"254",51,4,"investigación","51-4"
"255",51,5,"soluciones","51-5"
"256",52,1,"tecnología","52-1"
"257",52,2,"robot","52-2"
"258",52,3,"impersonal","52-3"
"259",52,4,"evolución","52-4"
"260",52,5,"digital","52-5"
"261",53,1,"moderno","53-1"
"262",53,2,"miedo","53-2"
"263",53,3,"calculador","53-3"
"264",53,4,"útil","53-4"
"265",53,5,"potencial","53-5"
"266",54,1,"datos","54-1"
"267",54,2,"lenguaje","54-2"
"268",54,3,"patrones","54-3"
"269",54,4,"procesamiento","54-4"
"270",54,5,"informacion","54-5"
"271",55,1,"avasallante","55-1"
"272",55,2,"ficcion","55-2"
"273",55,3,"desconociminto","55-3"
"274",55,4,"intrigante","55-4"
"275",55,5,"era","55-5"
"276",56,1,"robot","56-1"
"277",56,2,"ciencia","56-2"
"278",56,3,"tecnología","56-3"
"279",56,4,"futuro","56-4"
"280",56,5,"ciencia ficción","56-5"
"281",57,1,"herramienta","57-1"
"282",57,2,"recurso","57-2"
"283",57,3,"precaucion","57-3"
"284",57,4,"automatizacion","57-4"
"285",57,5,"deshumanizacion","57-5"
"286",58,1,"skynet","58-1"
"287",58,2,"máquina","58-2"
"288",58,3,"manipulación","58-3"
"289",58,4,"poder","58-4"
"290",58,5,"información","58-5"
"291",59,1,"falso","59-1"
"292",59,2,"informacion","59-2"
"293",59,3,"tecnologia","59-3"
"294",59,4,"robot","59-4"
"295",59,5,"futuro","59-5"
"296",60,1,"robot","60-1"
"297",60,2,"eficiencia","60-2"
"298",60,3,"inhumano","60-3"
"299",60,4,"acero","60-4"
"300",60,5,"rapidez","60-5"
"301",61,1,"asistencia","61-1"
"302",61,2,"soporte","61-2"
"303",61,3,"desarrollo","61-3"
"304",61,4,"co-piloto","61-4"
"305",61,5,"refuerzo","61-5"
"306",62,1,"agilidad","62-1"
"307",62,2,"solución","62-2"
"308",62,3,"tecnología","62-3"
"309",62,4,"reemplazo","62-4"
"310",62,5,"entendimiento","62-5"
"311",63,1,"deshumanización","63-1"
"312",63,2,"incontrolable","63-2"
"313",63,3,"irresponsabilidad social","63-3"
"314",63,4,"aceleración","63-4"
"315",63,5,"cambio de paradigma","63-5"
"316",64,1,"avance","64-1"
"317",64,2,"utilidad","64-2"
"318",64,3,"miedo","64-3"
"319",64,4,"pérdida","64-4"
"320",64,5,"automatización","64-5"
"321",65,1,"máquinas","65-1"
"322",65,2,"velocidad","65-2"
"323",65,3,"volumen","65-3"
"324",65,4,"dificultad","65-4"
"325",65,5,"sesgo","65-5"
"326",66,1,"ai","66-1"
"327",66,2,"programación","66-2"
"328",66,3,"sesgo","66-3"
"329",66,4,"buscador","66-4"
"330",66,5,"síntesis","66-5"
"331",67,1,"desarrollo","67-1"
"332",67,2,"herramienta","67-2"
"333",67,3,"cognicion","67-3"
"334",67,4,"innovación","67-4"
"335",67,5,"aprendizaje","67-5"
"336",68,1,"tecnología","68-1"
"337",68,2,"control","68-2"
"338",68,3,"engaño","68-3"
"339",68,4,"utilidad","68-4"
"340",68,5,"miedo","68-5"
"341",69,1,"chat gpt","69-1"
"342",69,2,"ayuda","69-2"
"343",69,3,"tecnologia","69-3"
"344",69,4,"preocupacion","69-4"
"345",69,5,"aprendizaje","69-5"
"346",70,1,"mente","70-1"
"347",70,2,"rosa","70-2"
"348",70,3,"sesgo","70-3"
"349",70,4,"tecla","70-4"
"350",70,5,"código","70-5"
"351",71,1,"aprendizajes","71-1"
"352",71,2,"desarrollo","71-2"
"353",71,3,"tecnologia","71-3"
"354",71,4,"problematización","71-4"
"355",71,5,"reflexión","71-5"
"356",72,1,"herramienta","72-1"
"357",72,2,"creatividad","72-2"
"358",72,3,"información","72-3"
"359",72,4,"optimización","72-4"
"360",72,5,"big data","72-5"
"361",73,1,"desarrollo","73-1"
"362",73,2,"evolución","73-2"
"363",73,3,"soluciones","73-3"
"364",73,4,"peligro","73-4"
"365",73,5,"desafio","73-5"
"366",74,1,"actualidad","74-1"
"367",74,2,"desinteligencia","74-2"
"368",74,3,"miedo","74-3"
"369",74,4,"mentira","74-4"
"370",74,5,"control","74-5"
"371",75,1,"inteligencia","75-1"
"372",75,2,"utilidad","75-2"
"373",75,3,"modelo","75-3"
"374",75,4,"conveniencia","75-4"
"375",75,5,"rentabilidad","75-5"
"376",76,1,"agilidad","76-1"
"377",76,2,"resolución","76-2"
"378",76,3,"sesgos","76-3"
"379",76,4,"facilidad","76-4"
"380",76,5,"regulación","76-5"
"381",77,1,"ordenadores","77-1"
"382",77,2,"maquina","77-2"
"383",77,3,"calculo","77-3"
"384",77,4,"transhumano","77-4"
"385",77,5,"rapidez","77-5"
"386",78,1,"automatización","78-1"
"387",78,2,"promt","78-2"
"388",78,3,"agilidad","78-3"
"389",78,4,"innovación","78-4"
"390",78,5,"eficiencia","78-5"
"391",79,1,"chatbot","79-1"
"392",79,2,"modelo","79-2"
"393",79,3,"espejo","79-3"
"394",79,4,"educación","79-4"
"395",79,5,"velocidad","79-5"
"396",80,1,"aprendizaje automático","80-1"
"397",80,2,"imágenes creadas","80-2"
"398",80,3,"bots","80-3"
"399",80,4,"automatización","80-4"
"400",80,5,"robot","80-5"
"401",81,1,"internet","81-1"
"402",81,2,"robótico","81-2"
"403",81,3,"auonomía","81-3"
"404",81,4,"algoritmos","81-4"
"405",81,5,"retroalimentación","81-5"
"406",82,1,"futuro","82-1"
"407",82,2,"eficiencia","82-2"
"408",82,3,"digitalización","82-3"
"409",82,4,"inseguridad","82-4"
"410",82,5,"aislación","82-5"
"411",83,1,"avance","83-1"
"412",83,2,"facilidad","83-2"
"413",83,3,"posibilidad","83-3"
"414",83,4,"regulación","83-4"
"415",83,5,"progreso","83-5"
"416",84,1,"novedad","84-1"
"417",84,2,"internet","84-2"
"418",84,3,"robot","84-3"
"419",84,4,"global","84-4"
"420",84,5,"raro","84-5"
"421",85,1,"tecnología","85-1"
"422",85,2,"desarrollo","85-2"
"423",85,3,"posibilidades","85-3"
"424",85,4,"soluciones","85-4"
"425",85,5,"oportunidad","85-5"
"426",86,1,"tecnología","86-1"
"427",86,2,"software","86-2"
"428",86,3,"big data","86-3"
"429",86,4,"ilustraciones","86-4"
"430",86,5,"predicción","86-5"
"431",87,1,"tecnologia","87-1"
"432",87,2,"poder","87-2"
"433",87,3,"personas","87-3"
"434",87,4,"informacion","87-4"
"435",87,5,"riesgos","87-5"
"436",88,1,"tecnología","88-1"
"437",88,2,"computadora","88-2"
"438",88,3,"robot","88-3"
"439",88,4,"análisis de datos","88-4"
"440",88,5,"futuro","88-5"
"441",89,1,"computadora","89-1"
"442",89,2,"mente","89-2"
"443",89,3,"automático","89-3"
"444",89,4,"rapidez","89-4"
"445",89,5,"datos","89-5"
"446",90,1,"probabilidad","90-1"
"447",90,2,"prediccion","90-2"
"448",90,3,"actualidad","90-3"
"449",90,4,"maquina","90-4"
"450",90,5,"asistente","90-5"
"451",91,1,"desumanizacion","91-1"
"452",91,2,"miedo","91-2"
"453",91,3,"desempleo","91-3"
"454",91,4,"autimatizacion","91-4"
"455",91,5,"falta de razonamiento","91-5"
"456",92,1,"robots","92-1"
"457",92,2,"chatbots","92-2"
"458",92,3,"programación","92-3"
"459",92,4,"prompts","92-4"
"460",92,5,"research","92-5"
"461",93,1,"artificial","93-1"
"462",93,2,"manipulacion","93-2"
"463",93,3,"miedo","93-3"
"464",93,4,"increible","93-4"
"465",93,5,"inentendible","93-5"
"466",94,1,"chatgpt","94-1"
"467",94,2,"robot","94-2"
"468",94,3,"escribir","94-3"
"469",94,4,"programar","94-4"
"470",94,5,"rapidez","94-5"
"471",95,1,"computadora","95-1"
"472",95,2,"ficcion","95-2"
"473",95,3,"dominacion","95-3"
"474",95,4,"reemplazo","95-4"
"475",95,5,"peligro","95-5"
"476",96,1,"automatización","96-1"
"477",96,2,"peligro","96-2"
"478",96,3,"masividad","96-3"
"479",96,4,"terminator","96-4"
"480",96,5,"ayuda","96-5"
"481",97,1,"actualidad","97-1"
"482",97,2,"poderoso","97-2"
"483",97,3,"aplicabilidad","97-3"
"484",97,4,"solución","97-4"
"485",97,5,"problema","97-5"
"486",98,1,"trabajo","98-1"
"487",98,2,"tecnología","98-2"
"488",98,3,"lenguaje","98-3"
"489",98,4,"herramienta","98-4"
"490",98,5,"útil","98-5"
"491",99,1,"oportunidad","99-1"
"492",99,2,"responsabilidad","99-2"
"493",99,3,"estudiantes","99-3"
"494",99,4,"rol docente","99-4"
"495",99,5,"barrera","99-5"
"496",100,1,"practicidad","100-1"
"497",100,2,"ahorro de tiempo","100-2"
"498",100,3,"sistematización","100-3"
"499",100,4,"automatizacion","100-4"
"500",100,5,"limites","100-5"
"501",101,1,"tecnología","101-1"
"502",101,2,"datos","101-2"
"503",101,3,"internet","101-3"
"504",101,4,"control","101-4"
"505",101,5,"robotica","101-5"
"506",102,1,"futuro","102-1"
"507",102,2,"ciencia-ficción","102-2"
"508",102,3,"tecnología","102-3"
"509",102,4,"avances","102-4"
"510",102,5,"robot","102-5"
"511",103,1,"modernidad","103-1"
"512",103,2,"computadora","103-2"
"513",103,3,"máquinas","103-3"
"514",103,4,"no humano","103-4"
"515",103,5,"desempleo","103-5"
"516",104,1,"información","104-1"
"517",104,2,"ayuda","104-2"
"518",104,3,"contenido","104-3"
"519",104,4,"aliado","104-4"
"520",104,5,"generar","104-5"
"521",105,1,"automatizacion","105-1"
"522",105,2,"resolucion","105-2"
"523",105,3,"maquina","105-3"
"524",105,4,"rapidez","105-4"
"525",105,5,"comodidad","105-5"
"526",106,1,"robot","106-1"
"527",106,2,"futuro","106-2"
"528",106,3,"cambios","106-3"
"529",106,4,"invensión","106-4"
"530",106,5,"dinero","106-5"
"531",107,1,"chatgpt","107-1"
"532",107,2,"datos personales","107-2"
"533",107,3,"open ai","107-3"
"534",107,4,"imágenes","107-4"
"535",107,5,"programación","107-5"
"536",108,1,"trabajo","108-1"
"537",108,2,"tiempo","108-2"
"538",108,3,"peligro","108-3"
"539",108,4,"descubrimiento","108-4"
"540",108,5,"solución","108-5"
"541",109,1,"facil","109-1"
"542",109,2,"avance","109-2"
"543",109,3,"futuro","109-3"
"544",109,4,"desempleo","109-4"
"545",109,5,"libertad","109-5"
"546",110,1,"tecnología","110-1"
"547",110,2,"curiosidad","110-2"
"548",110,3,"herramienta","110-3"
"549",110,4,"información","110-4"
"550",110,5,"interacción","110-5"
"551",111,1,"estadística","111-1"
"552",111,2,"computación","111-2"
"553",111,3,"robot","111-3"
"554",111,4,"automatización","111-4"
"555",111,5,"humano","111-5"
"556",112,1,"cambio","112-1"
"557",112,2,"temor","112-2"
"558",112,3,"maravilloso","112-3"
"559",112,4,"ayuda","112-4"
"560",112,5,"facilidad","112-5"
"561",113,1,"novedad","113-1"
"562",113,2,"progreso","113-2"
"563",113,3,"skynet","113-3"
"564",113,4,"herramienta","113-4"
"565",113,5,"desafío","113-5"
"566",114,1,"tecnologia","114-1"
"567",114,2,"deshumanizacion","114-2"
"568",114,3,"informacion","114-3"
"569",114,4,"almacenamiento de datos","114-4"
"570",114,5,"rapidez","114-5"
"571",115,1,"solucion","115-1"
"572",115,2,"rapida","115-2"
"573",115,3,"información","115-3"
"574",115,4,"riesgo","115-4"
"575",115,5,"resumen","115-5"
"576",116,1,"rapidez","116-1"
"577",116,2,"computacion","116-2"
"578",116,3,"duda","116-3"
"579",116,4,"facil","116-4"
"580",116,5,"futuro","116-5"
"581",117,1,"facilidad","117-1"
"582",117,2,"extremo","117-2"
"583",117,3,"vagos","117-3"
"584",117,4,"increible","117-4"
"585",117,5,"comodidad","117-5"
"586",118,1,"tecnología","118-1"
"587",118,2,"automatización","118-2"
"588",118,3,"eficiencia","118-3"
"589",118,4,"cuidado","118-4"
"590",118,5,"reflexión","118-5"
"591",119,1,"internet","119-1"
"592",119,2,"avance","119-2"
"593",119,3,"robots","119-3"
"594",119,4,"profesional","119-4"
"595",119,5,"tecnología","119-5"
"596",120,1,"tecnologia","120-1"
"597",120,2,"avance","120-2"
"598",120,3,"robot","120-3"
"599",120,4,"precision","120-4"
"600",120,5,"algoritmo","120-5"
"601",121,1,"chat gpt","121-1"
"602",121,2,"imágenes","121-2"
"603",121,3,"robótica","121-3"
"604",121,4,"avance","121-4"
"605",121,5,"ciencia","121-5"
"606",122,1,"robot","122-1"
"607",122,2,"ficticio","122-2"
"608",122,3,"herramienta","122-3"
"609",122,4,"sustitución","122-4"
"610",122,5,"peligro","122-5"
"611",123,1,"robot","123-1"
"612",123,2,"informatica","123-2"
"613",123,3,"digital","123-3"
"614",123,4,"videos","123-4"
"615",123,5,"edicion","123-5"
"616",124,1,"robot","124-1"
"617",124,2,"ayuda","124-2"
"618",124,3,"facilidad","124-3"
"619",124,4,".","124-4"
"620",124,5,".","124-5"
"621",125,1,"tecnología","125-1"
"622",125,2,"avance","125-2"
"623",125,3,"inteligencia","125-3"
"624",125,4,"beneficios","125-4"
"625",125,5,"agilizar","125-5"
"626",126,1,"aprender","126-1"
"627",126,2,"proceso","126-2"
"628",126,3,"autonomía","126-3"
"629",126,4,"robots","126-4"
"630",126,5,"automatización","126-5"
"631",127,1,"algoritmos","127-1"
"632",127,2,"sesgos","127-2"
"633",127,3,"rapidez","127-3"
"634",127,4,"datos","127-4"
"635",127,5,"promesa","127-5"
"636",128,1,"innovacion","128-1"
"637",128,2,"rapidez","128-2"
"638",128,3,"agil","128-3"
"639",128,4,"aprendizaje","128-4"
"640",128,5,"digital","128-5"
"641",129,1,"automatización","129-1"
"642",129,2,"internet","129-2"
"643",129,3,"network","129-3"
"644",129,4,"conexión","129-4"
"645",129,5,"información","129-5"
"646",130,1,"información","130-1"
"647",130,2,"peligro","130-2"
"648",130,3,"posibilidad","130-3"
"649",130,4,"ética","130-4"
"650",130,5,"robot","130-5"
"651",131,1,"automatización","131-1"
"652",131,2,"sistematización","131-2"
"653",131,3,"reservorio","131-3"
"654",131,4,"rapidez","131-4"
"655",131,5,"combinación","131-5"
"656",132,1,"futuro","132-1"
"657",132,2,"chat gpt","132-2"
"658",132,3,"robot","132-3"
"659",132,4,"desempleo","132-4"
"660",132,5,"deshumanizacion","132-5"
"661",133,1,"avance","133-1"
"662",133,2,"tecnologia","133-2"
"663",133,3,"inhumano","133-3"
"664",133,4,"desprolijo","133-4"
"665",133,5,"sesgado","133-5"
"666",134,1,"futuro","134-1"
"667",134,2,"riesgo","134-2"
"668",134,3,"cuidado","134-3"
"669",134,4,"oportunidad","134-4"
"670",134,5,"evolución","134-5"
"671",135,1,"futuro","135-1"
"672",135,2,"avance","135-2"
"673",135,3,"retroceso","135-3"
"674",135,4,"precarización laboral","135-4"
"675",135,5,"inmediatez","135-5"
"676",136,1,"tecnología","136-1"
"677",136,2,"velocidad","136-2"
"678",136,3,"soluciones","136-3"
"679",136,4,"robótica","136-4"
"680",136,5,"miedo","136-5"
"681",137,1,"innovación","137-1"
"682",137,2,"creatividad","137-2"
"683",137,3,"productividad","137-3"
"684",137,4,"sesgos","137-4"
"685",137,5,"desarrollo","137-5"
"686",138,1,"facilísimo","138-1"
"687",138,2,"miedo","138-2"
"688",138,3,"complemento","138-3"
"689",138,4,"herramienta","138-4"
"690",138,5,"rapidez","138-5"
"691",139,1,"tecnologia","139-1"
"692",139,2,"actualidad","139-2"
"693",139,3,"herramienta","139-3"
"694",139,4,"utilidad","139-4"
"695",139,5,"cuidado","139-5"
"696",140,1,"oportunidad","140-1"
"697",140,2,"desafío","140-2"
"698",140,3,"aceleración","140-3"
"699",140,4,"curiosidad","140-4"
"700",140,5,"cuidado","140-5"
"701",141,1,"tecnología","141-1"
"702",141,2,"actualidad","141-2"
"703",141,3,"asistencia","141-3"
"704",141,4,"desafio","141-4"
"705",141,5,"futuro","141-5"
"706",142,1,"chat gpt","142-1"
"707",142,2,"remplazo","142-2"
"708",142,3,"robot","142-3"
"709",142,4,"difícil","142-4"
"710",142,5,"útil","142-5"
"711",143,1,"robot","143-1"
"712",143,2,"datos","143-2"
"713",143,3,"computadora","143-3"
"714",143,4,"respuestas","143-4"
"715",143,5,"rapidez","143-5"
"716",144,1,"tecnología","144-1"
"717",144,2,"conspiración","144-2"
"718",144,3,"terminator","144-3"
"719",144,4,"miedo","144-4"
"720",144,5,"deshumanización","144-5"
"721",145,1,"mente","145-1"
"722",145,2,"agilidad","145-2"
"723",145,3,"productividad","145-3"
"724",145,4,"digital","145-4"
"725",145,5,"no tangible","145-5"
"726",146,1,"brillante","146-1"
"727",146,2,"futuro","146-2"
"728",146,3,"nuevo","146-3"
"729",146,4,"facilidad","146-4"
"730",146,5,"tiempo","146-5"
"731",147,1,"facilidad","147-1"
"732",147,2,"comodidad","147-2"
"733",147,3,"adormecimiento","147-3"
"734",147,4,"obturar","147-4"
"735",147,5,"vacío","147-5"
"736",148,1,"cambio","148-1"
"737",148,2,"innovación","148-2"
"738",148,3,"desafío","148-3"
"739",148,4,"peligro","148-4"
"740",148,5,"futuro","148-5"
"741",149,1,"superficialidad","149-1"
"742",149,2,"ficción","149-2"
"743",149,3,"wikipedia","149-3"
"744",149,4,"aprendizaje","149-4"
"745",149,5,"manipulación","149-5"
"746",150,1,"velocidad","150-1"
"747",150,2,"pensamiento","150-2"
"748",150,3,"artificial","150-3"
"749",150,4,"no se","150-4"
"750",150,5,"no se","150-5"
"751",151,1,"ficticio","151-1"
"752",151,2,"herramienta","151-2"
"753",151,3,"fraude","151-3"
"754",151,4,"oportunidad","151-4"
"755",151,5,"miedo","151-5"
"756",152,1,"innovación","152-1"
"757",152,2,"colaboración","152-2"
"758",152,3,"intriga","152-3"
"759",152,4,"desafío","152-4"
"760",152,5,"curiosidad","152-5"
"761",153,1,"cansancio","153-1"
"762",153,2,"inquietud","153-2"
"763",153,3,"negocio","153-3"
"764",153,4,"preocupación","153-4"
"765",153,5,"vejez","153-5"
"766",154,1,"poder","154-1"
"767",154,2,"posibilidad","154-2"
"768",154,3,"riesgo","154-3"
"769",154,4,"peligro","154-4"
"770",154,5,"tecnologia","154-5"
"771",155,1,"computadora","155-1"
"772",155,2,"ayuda","155-2"
"773",155,3,"desafío","155-3"
"774",155,4,"plagio","155-4"
"775",155,5,"complicado","155-5"
"776",156,1,"imagen","156-1"
"777",156,2,"cuenta","156-2"
"778",156,3,"tarea","156-3"
"779",156,4,"adolescentes","156-4"
"780",156,5,"trabajo","156-5"
"781",157,1,"apertura","157-1"
"782",157,2,"crecimiento","157-2"
"783",157,3,"innovación","157-3"
"784",157,4,"cambio","157-4"
"785",157,5,"futuro","157-5"
"786",158,1,"copia","158-1"
"787",158,2,"automático","158-2"
"788",158,3,"simulación","158-3"
"789",158,4,"irreal","158-4"
"790",158,5,"opción","158-5"
"791",159,1,"progreso","159-1"
"792",159,2,"simplicidad","159-2"
"793",159,3,"avance","159-3"
"794",159,4,"fin de los tiempos","159-4"
"795",159,5,"revolución","159-5"
