Timestamp,Primera palabra,Segunda palabra,Tercera palabra,Cuarta palabra,Quinta palabra,"Para trámites cotidianos, prefiero interactuar con un sistema de Inteligencia Artificial, antes que con un ser humano",Me pone incómodo pensar en los usos futuros de la Inteligencia Artificial,La Inteligencia Artificial puede tener impactos positivos en el bienestar de las personas,Las personas como yo sufrirán si la Inteligencia Artificial se usa cada vez más,La Inteligencia Artificial podría tomar el control de las personas,Un sistema con Inteligencia Artificial podría ser mejor que un trabajador humano en muchas tareas rutinarias,Los sistemas de Inteligencia Artificial pueden ayudar a las personas a sentirse más felices,La Inteligencia Artificial es emocionante,Creo que la Inteligencia Artificial es peligrosa,La Inteligencia Artificial puede brindar nuevas oportunidades económicas para la sociedad,Hay muchas aplicaciones beneficiosas de la Inteligencia Artificial,Los sistemas de Inteligencia Artificial pueden desempeñarse mejor que los seres humanos,La Inteligencia Artificial me parece siniestra,Me asombra lo que la Inteligencia Artificial puede hacer,La inteligencia artificial se utiliza para espiar a las personas,Gran parte de la sociedad se beneficiará de un futuro lleno de Inteligencia Artificial,Me gustaría utilizar Inteligencia Artificial en mi propio trabajo,¿Del 1 al 10 cómo calificaría su conocimiento sobre Inteligencia Artificial?,¿Del 1 al 10 cómo calificaría su experiencia sobre Inteligencia Artificial?,"Instagram, Facebook, Twitter, TikTok y similares","Youtube, Netflix, Spotify y similares","PedidosYa, Uber, MercadoLibre y similares","Chat-GPT, Dall-E, Bard y similares",Asistentes virtuales,Robots y artefactos automatizados,Soy el alma de las fiestas,Empatizo con lo que sienten los demás,Hago mis tareas de inmediato,Tengo cambios frecuentes en mi estado de ánimo,Tengo una gran imaginación,No suelo hablar mucho,No me interesan mucho los problemas de los demás,Usualmente me olvido de volver a guardar las cosas en su lugar,Suelo estar relajado/a la mayor parte del tiempo,No me interesan las ideas abstractas,Hablo con muchas personas diferentes en las fiestas,Puedo sentir las emociones que sienten los demás,Me gusta el orden,Me enojo fácilmente,Tengo dificultad para entender ideas abstractas,No me gusta llamar la atención,No me interesan realmente los demás,Soy algo desordenado/a,Raras veces me siento triste,No tengo una buena imaginación,Edad (años),Género,Máximo nivel de estudio (completo o en curso),¿Cuál de las siguientes opciones describe mejor su principal actividad u ocupación?
11/30/2023 11:12:44,Futuro,Tecnologia,Reemplazo,Desconocimiento,Velocidad,2,4,3,2,3,4,1,4,4,3,1,3,2,5,3,2,3,3,5,4,4,4,1,2,1,3,1,3,1,2,3,4,2,4,1,3,2,2,2,1,2,3,4,4,4,36,Varón,Universitario o terciario,Ocupado/a en administración o gestión
12/4/2023 23:34:12,Chatgpt,Openai,Lenguaje,Miedo,Código,3,4,4,2,2,4,3,4,4,4,4,3,3,4,2,3,5,6,6,3,4,1,4,1,1,3,3,3,2,3,2,3,2,2,1,5,3,5,5,2,5,2,4,2,4,34,Varón,Posgrado,Ocupado/a en matemáticas o computación
12/5/2023 18:11:22,machine,prediccion,chat gpt,redes,robot,1,3,5,3,2,5,4,5,4,5,5,4,4,5,5,5,5,9,9,4,4,3,4,3,3,4,4,4,1,4,2,3,5,4,3,3,2,4,2,4,4,1,5,5,2,34,Varón,Universitario o terciario,Ocupado/a en matemáticas o computación
12/9/2023 20:57:01,Progreso ,Oportunidadades,Automatización ,Beneficios,Mejora,2,1,5,1,2,4,3,5,2,5,5,4,2,5,4,5,5,7,4,4,4,2,1,2,2,3,4,4,2,3,3,2,2,4,3,5,3,4,2,3,3,2,3,4,3,28,Varón,Universitario o terciario,Ocupado/a en matemáticas o computación
12/9/2023 20:58:14,Robot,Metal,Sentimientos,Desierto,Bruma,2,3,3,3,4,4,3,3,4,3,2,4,4,3,2,4,3,2,2,4,4,3,2,2,2,1,3,3,3,4,3,2,1,3,2,3,4,4,2,3,4,1,3,4,2,40,Mujer,Secundario,"Ocupado/a en comunicación, arte, deportes, o entretenimiento"
12/9/2023 21:05:20,Chatgpt,Robot,Internet,Redes sociales,Innovacion,1,5,4,2,2,5,2,4,4,4,5,2,2,5,3,4,4,6,4,4,4,4,2,3,1,3,4,4,3,2,5,2,2,4,3,2,4,5,2,2,4,2,2,4,4,36,Varón,Secundario,"Ocupado/a en bibliotecas, educación o capacitación"
12/9/2023 21:05:46,Asistencia,Automatica,Computadora,Rapida,Mecanizada,2,2,4,2,1,4,4,5,2,4,4,2,2,4,3,4,4,5,5,3,3,3,2,2,2,4,4,2,2,4,3,1,3,3,3,3,3,4,2,2,3,1,3,3,3,32,Varón,Universitario o terciario,"Ocupado/a en agricultura, pesca y ganadería"
12/9/2023 21:12:52,Progreso,Actualización ,Peligro,Util,Tecnología ,2,5,5,4,5,3,1,4,5,5,5,2,4,5,4,3,2,4,5,4,4,2,1,1,1,1,5,2,4,4,1,1,3,3,1,5,5,2,2,4,4,1,5,2,2,26,Mujer,Universitario o terciario,Ocupado/a en servicios de salud
12/9/2023 21:13:31,chat gpt,bard,redes neuronales,datos,genIA,5,1,4,1,2,5,5,4,4,5,5,4,2,4,1,4,5,7,9,4,3,2,3,3,2,2,4,3,2,3,4,2,2,5,1,3,4,4,2,1,4,2,2,1,1,43,Varón,Posgrado,Ocupado/a en administración o gestión
12/9/2023 21:25:11,Futuro,Peligro,Trabajo ,Seguridad,Ayuda,5,3,3,3,2,3,3,3,5,3,5,4,2,4,5,4,3,3,5,4,4,4,1,2,1,3,5,3,3,5,3,1,1,3,3,1,5,5,3,3,2,3,2,3,2,36,Varón,Secundario,Ocupado/a en administración o gestión
12/9/2023 21:25:34,Futurismo,Robot,Tecnología ,Velocidad ,Ciencia ,3,1,5,1,1,5,5,5,3,5,5,2,1,5,1,5,5,5,5,4,4,2,2,2,1,1,5,4,3,4,3,1,1,2,1,4,5,5,4,3,3,1,1,3,3,37,Mujer,Universitario o terciario,Ocupado/a en administración o gestión
12/9/2023 21:25:51,Robot,Futuro,Desconfianza ,Deshumanización ,Preocupación ,2,5,3,4,4,1,2,2,4,3,3,2,4,4,5,2,5,4,4,4,3,3,2,2,2,3,5,4,3,4,1,1,1,3,3,4,4,4,2,2,4,1,1,3,1,39,Mujer,Universitario o terciario,"Ocupado/a en bibliotecas, educación o capacitación"
12/9/2023 22:15:39,tecnología,innovación ,increíble ,automatización ,robots,1,4,5,1,3,2,3,4,4,5,5,1,2,5,2,3,1,3,1,4,4,2,1,1,1,2,5,4,4,4,2,1,1,3,1,2,4,4,5,2,5,1,2,2,1,19,Mujer,Universitario o terciario,Ocupado/a en el cuidado de otras personas
12/9/2023 22:37:28,Computadora,Rapidez,Eficacia,Practicidad ,Accesibilidad ,1,4,3,4,4,1,1,3,4,3,4,1,4,4,5,5,1,1,1,4,4,2,1,2,1,1,5,2,4,4,1,1,1,1,1,5,5,4,4,2,2,1,2,1,1,25,Mujer,Universitario o terciario,Estudiante
12/9/2023 23:20:12,Tecnologia,Rapidez,Robot ,Ciencia,Máquina 2,3,1,2,2,5,4,2,2,5,3,2,4,5,5,5,4,4,1,1,2,3,3,1,3,3,3,4,4,3,3,1,4,1,3,2,2,5,4,5,5,3,3,3,3,4,59,Mujer,Universitario o terciario,Ocupado/a en administración o gestión
12/9/2023 23:23:50,Rápido ,Solución ,Eficiencia ,Respuestas,Diverso,2,4,5,4,1,4,2,3,3,4,4,3,1,5,1,2,5,3,5,4,4,4,2,1,1,3,4,3,3,2,2,1,3,3,5,5,4,5,2,5,3,1,1,3,2,30,Mujer,Universitario o terciario,Ocupado/a en servicios de salud
12/9/2023 23:35:08,Herramienta,Asistente,Silucion,Busqueda,Respuesta,4,4,5,1,2,5,3,5,3,4,5,3,1,5,1,3,5,7,7,3,4,2,3,1,1,2,3,3,2,3,2,2,5,2,1,2,3,1,1,1,3,2,5,2,2,39,Varón,Secundario,Ocupado/a en matemáticas o computación
12/9/2023 23:53:23,Sistema,Información ,Peligro,Incontrolado,Herramienta ,2,4,4,3,2,3,1,4,4,4,4,2,3,5,5,3,4,5,3,2,4,3,1,1,1,3,5,4,1,4,1,1,2,3,2,3,5,5,1,1,2,1,2,2,2,35,Varón,Posgrado,Ocupado/a en legales
12/10/2023 0:28:39,Velocidad,Precision,Capacidad,Trabajo,Certeza,5,1,5,1,1,1,1,1,1,5,5,1,1,1,1,5,5,5,1,1,4,1,1,3,1,4,5,5,1,3,1,1,3,3,1,5,5,3,1,1,5,1,1,4,3,61,Mujer,Universitario o terciario,Ocupado/a en administración o gestión
12/10/2023 0:35:29,Incognita,Futuro,Suerte,Desconocimiento,Fe,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,4,4,1,1,1,1,3,5,4,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,58,Varón,Secundario,Ocupado/a en elaboración y servicio de alimentos
12/10/2023 7:32:18,Tecnología ,Robot,Académico ,Resolver,Innovación ,2,4,4,3,4,2,3,3,3,3,2,2,3,4,4,3,3,3,3,4,3,2,2,2,1,3,5,4,3,4,2,2,2,4,2,4,4,4,2,2,4,1,2,2,2,33,Mujer,Posgrado,Ocupado/a en el cuidado de otras personas
12/10/2023 10:41:22,Robot,dominar, no creatividad,facilidad,futuro,2,5,4,3,3,4,1,2,4,3,4,1,3,5,4,2,2,3,3,4,4,4,1,3,2,3,5,3,3,5,1,1,3,3,4,3,4,4,3,2,3,1,3,3,1,32,Mujer,Posgrado,Ocupado/a en servicios de salud
12/10/2023 10:54:22,Respuesta,Informacion,Solucion,Automatico,Maquina,4,2,3,3,3,2,2,3,1,3,4,3,2,4,4,3,2,4,3,4,4,2,1,2,1,2,5,4,2,4,1,1,4,4,4,5,4,3,1,2,4,1,3,5,1,38,Varón,Universitario o terciario,Ocupado/a en operaciones comerciales o financieras
12/10/2023 16:26:24,Eficacia,Innovación ,Desarrollo,Oportunidades,Automatización ,3,3,2,4,4,2,3,4,4,2,2,3,4,2,4,3,2,6,6,2,3,3,2,2,1,3,4,4,3,3,1,1,2,4,2,4,4,5,3,2,3,1,1,2,3,32,Varón,Posgrado,Ocupado/a en administración o gestión
12/10/2023 17:07:17,Automático,Avance,Peligro,Interacción,Amigarse,3,2,5,1,3,4,1,3,3,4,5,3,2,5,3,4,3,7,8,4,4,2,1,1,2,1,5,3,2,4,4,1,3,4,3,1,4,3,2,3,5,1,3,3,2,37,Varón,Universitario o terciario,Ocupado/a en el cuidado de otras personas
12/10/2023 22:29:01,Estadística ,Ayuda,Desarrollo,Tecnologia,Revolución ,4,2,5,1,3,4,3,4,4,5,5,3,1,5,1,5,5,8,9,4,4,3,4,2,4,2,4,3,2,3,2,2,1,3,4,4,4,4,3,4,4,2,3,4,2,44,Varón,Posgrado,Ocupado/a en matemáticas o computación
12/11/2023 10:44:54,Intriga,Miedo,Ayuda,Peligroso,Avance,1,5,5,3,3,2,2,5,5,4,5,2,3,5,2,3,4,6,5,4,4,3,2,2,1,3,5,4,4,3,1,1,2,2,2,3,4,4,3,2,3,1,2,4,2,34,Mujer,,Ocupado/a en servicios de salud
12/11/2023 13:24:28,Avance tecnológico ,Desafío ,Temor,Desconocimiento ,Herramienta,2,5,3,4,4,3,3,4,4,3,4,3,3,5,3,4,3,1,1,4,3,2,1,2,1,2,5,4,2,4,3,2,1,5,3,1,3,5,1,3,5,1,2,4,1,33,Mujer,Posgrado,Ocupado/a en servicios de salud
12/14/2023 13:25:21,Neuromante,Hal 3000,turing,versión fuerte de la analogía,saraza,1,4,2,4,2,3,3,3,4,3,3,3,4,3,4,1,3,7,7,4,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,Mujer,Prefiero no decirlo,Ocupado/a en legales
3/5/2024 20:31:11,Peligro,Avance,Incoherencia,Irracional,Desligue,2,2,4,1,5,2,4,4,5,4,4,2,4,4,4,3,4,9,8,4,4,3,3,3,2,1,5,5,5,5,3,1,3,1,1,4,5,5,4,1,5,1,3,3,5,27,Varón,Universitario o terciario,"Ocupado/a en comunicación, arte, deportes, o entretenimiento"
3/6/2024 10:08:03,procesos.,desarrollo.,minimizar.,vida.,futuro.,5,1,5,1,4,4,4,5,2,4,5,4,1,5,5,3,5,7,7,4,4,3,4,3,3,5,5,5,1,5,1,4,2,4,1,4,5,5,3,1,5,3,1,5,1,43,Varón,Universitario o terciario,"Ocupado/a en ciencias sociales, físicas o de la vida"
3/6/2024 11:18:35,Futuro,Yo Robot,Automatización,Peligro,Herramienta,5,5,5,1,3,5,1,5,5,5,5,2,1,5,2,5,5,5,6,4,4,3,2,2,2,2,5,5,5,4,5,1,1,1,1,1,5,5,5,2,1,1,2,1,2,27,Mujer,Universitario o terciario,Ocupado/a en administración o gestión
3/6/2024 11:23:35,Tecnología,Programación,Evolución,Copilot,Riesgo,5,1,5,1,3,4,4,5,5,5,5,3,2,5,4,2,5,6,7,4,4,4,4,2,1,3,5,3,4,5,2,1,1,2,1,4,5,5,4,1,3,1,1,3,1,22,Mujer,Universitario o terciario,Estudiante
3/6/2024 15:42:38,tecnología,avance,robótica,máquina,autómata,2,5,5,4,3,5,5,4,3,5,5,3,3,5,4,5,5,4,6,4,4,4,3,3,2,1,5,4,3,4,3,2,4,5,3,2,3,3,4,2,5,2,5,3,1,43,Mujer,Universitario o terciario,"Ocupado/a en bibliotecas, educación o capacitación"
3/6/2024 15:45:35,Superficial,Superfluo,poco durable,coeficiente intelectual,frio,1,2,3,3,3,2,2,3,3,4,3,3,3,5,3,5,4,2,1,2,3,2,1,1,1,4,4,4,4,3,4,4,1,2,5,2,3,5,4,5,3,2,1,3,3,43,Mujer,Universitario o terciario,Estudiante
3/7/2024 10:07:21,Tecnología ,Ciencia,Accesibilidad ,Cambio,Construcción ,1,5,5,4,1,4,4,3,4,4,5,1,1,5,3,2,4,7,7,3,3,3,2,2,3,2,5,4,4,4,1,1,2,1,2,4,4,4,4,1,3,1,2,1,1,37,Mujer,Universitario o terciario,"Ocupado/a en ciencias sociales, físicas o de la vida"
3/7/2024 16:48:00,Dominación,Onmipresente,Interconexión,Capacidad propia,Personas,2,4,4,2,3,4,3,4,4,3,4,4,4,3,1,3,1,8,7,1,4,2,2,3,2,4,4,4,2,4,1,1,1,4,1,4,4,5,2,1,3,1,1,2,2,35,Varón,Universitario o terciario,"Ocupado/a en reparación, mantenimiento, limpieza"
3/7/2024 18:27:11,algoritmo,datos,aplicaciones,bots,automatización,1,1,5,2,1,1,3,4,2,4,4,1,1,5,4,4,5,6,6,4,3,2,2,2,1,1,5,4,1,5,5,1,3,4,1,1,4,5,1,1,5,1,1,1,1,33,Varón,Posgrado,"Ocupado/a en ciencias sociales, físicas o de la vida"
3/28/2024 18:23:01,Automatización ,Sistematicidad,Velocidad,Eficiencia ,Incertidumbre,3,2,5,3,2,5,4,4,4,4,4,3,2,4,2,3,4,7,8,2,4,2,3,2,1,2,5,4,2,5,2,1,4,5,1,2,5,4,1,1,2,1,3,5,1,24,Varón,Universitario o terciario,"Ocupado/a en ciencias sociales, físicas o de la vida"
4/1/2024 13:08:19,Facil,Peligro ,Ayuda,Velocidad ,Atajo,1,5,2,2,3,5,2,3,4,1,3,2,3,5,3,1,2,6,4,4,4,3,2,2,1,1,3,2,1,4,2,1,4,3,1,2,5,5,3,1,5,1,4,4,1,31,Varón,Universitario o terciario,"Ocupado/a en bibliotecas, educación o capacitación"
4/1/2024 13:15:12,Robot,Tecnología ,Digital,Investigación ,Soluciones,3,3,4,2,1,2,2,4,2,4,5,1,2,5,4,3,5,5,4,4,4,4,2,2,3,1,5,3,3,3,2,1,4,2,2,3,4,3,3,2,5,1,4,4,4,46,Mujer,Universitario o terciario,"Ocupado/a en ciencias sociales, físicas o de la vida"
4/1/2024 13:46:28,Tecnología,Robot,Impersonal ,Evolución ,Digital,1,4,4,4,4,2,3,3,5,3,4,2,3,3,4,2,3,4,3,4,4,3,2,1,1,4,5,5,3,4,5,2,2,4,3,2,4,5,3,3,4,1,2,3,3,36,Mujer,Universitario o terciario,"Ocupado/a en bibliotecas, educación o capacitación"
4/6/2024 15:34:51,Moderno,Miedo,Calculador,Útil ,Potencial,3,2,5,1,1,5,4,5,1,5,5,3,1,5,2,4,3,7,6,4,4,2,3,2,1,2,4,4,2,4,5,5,1,4,1,1,2,5,1,1,5,4,1,5,2,23,Varón,Universitario o terciario,Estudiante
4/7/2024 0:37:50,datos,lenguaje,patrones,procesamiento,informacion,3,2,4,3,2,4,3,5,3,5,5,4,3,5,4,3,5,6,8,3,3,2,2,1,2,3,4,3,2,4,3,2,4,3,1,5,4,4,3,1,4,1,4,3,2,49,Varón,Secundario,Ocupado/a en ventas y actividades comerciales
4/7/2024 11:43:27,avasallante,ficcion,desconociminto,intrigante,era,4,5,4,2,2,2,1,3,4,4,3,2,3,4,5,2,3,2,2,4,4,2,1,1,1,3,5,3,1,3,2,1,1,3,4,5,4,4,2,3,3,1,1,4,2,45,Mujer,Universitario o terciario,Ocupado/a en ventas y actividades comerciales
4/14/2024 20:15:37,Robot,Ciencia,Tecnología ,Futuro,Ciencia ficción ,3,5,4,3,2,4,5,5,2,5,5,1,1,4,5,5,3,2,2,4,4,4,1,1,1,5,4,5,5,5,1,3,1,1,3,5,4,5,5,3,3,3,1,3,1,31,Mujer,Universitario o terciario,"Ocupado/a en comunicación, arte, deportes, o entretenimiento"
4/17/2024 9:40:59,Herramienta,Recurso,Precaucion,Automatizacion,Deshumanizacion,1,2,3,3,2,1,1,2,3,2,3,2,3,5,3,2,2,5,4,3,3,3,1,2,1,1,4,4,3,2,3,1,2,2,4,3,2,4,4,2,1,2,3,3,2,45,Varón,Universitario o terciario,Ocupado/a en operaciones comerciales o financieras
4/18/2024 0:15:20,Skynet,Máquina,Manipulación,Poder,Información,2,3,5,3,3,4,3,4,3,4,5,1,2,4,4,3,4,6,5,4,4,3,2,2,1,4,5,3,1,4,3,2,1,4,2,3,4,5,1,2,4,1,2,2,2,48,Varón,Universitario o terciario,"Ocupado/a en comunicación, arte, deportes, o entretenimiento"
4/19/2024 11:55:10,falso,informacion,tecnologia,robot,futuro,3,5,3,5,5,4,2,4,5,4,4,2,5,4,4,1,4,7,5,4,4,4,2,3,4,4,5,1,4,5,1,1,3,1,1,4,4,4,4,2,3,1,2,2,1,24,Mujer,Universitario o terciario,Ocupado/a en ventas y actividades comerciales
4/19/2024 12:06:35,Robot,eficiencia,inhumano,acero,rapidez,4,1,2,3,4,2,1,3,4,2,4,3,4,4,4,2,3,1,1,4,4,3,1,1,2,3,5,4,2,5,1,1,1,4,2,4,4,4,4,2,2,1,1,4,1,23,Varón,Universitario o terciario,Estudiante
4/19/2024 12:10:47,asistencia ,soporte ,desarrollo ,co-piloto,refuerzo ,3,1,5,1,2,2,4,5,2,3,4,3,1,4,1,5,5,7,7,3,4,1,4,4,1,4,4,2,2,4,1,1,3,4,1,5,4,3,2,1,2,2,2,5,4,24,Varón,Universitario o terciario,Estudiante
4/19/2024 12:22:40,Agilidad ,Solución ,Tecnología ,Reemplazo ,Entendimiento ,3,4,4,3,2,3,4,4,2,1,3,2,3,4,2,3,3,8,8,4,4,3,2,2,1,4,5,5,3,3,1,1,3,2,3,3,4,5,2,1,5,1,3,3,2,37,Mujer,Posgrado,"Ocupado/a en ciencias sociales, físicas o de la vida"
4/19/2024 12:23:45,Deshumanización ,Incontrolable,Irresponsabilidad social ,Aceleración ,Cambio de paradigma,1,5,5,4,5,5,1,5,5,4,4,3,5,5,5,1,2,4,3,4,4,4,1,2,1,4,5,1,5,4,2,1,3,1,1,3,4,4,4,2,2,1,4,1,2,24,Mujer,Universitario o terciario,Estudiante
4/19/2024 12:37:04,Avance,Utilidad,Miedo,Pérdida,Automatización,1,5,3,1,3,3,1,5,4,1,5,1,1,5,1,1,2,2,4,4,4,3,2,2,1,1,3,3,5,5,3,3,1,1,4,1,3,5,5,1,3,1,1,1,1,22,Mujer,Universitario o terciario,Ocupado/a en administración o gestión
4/19/2024 12:51:30,Máquinas ,Velocidad,Volumen,Dificultad,Sesgo,2,4,5,2,1,4,3,5,4,5,5,2,1,5,4,4,4,6,6,4,4,4,4,2,3,2,5,4,2,5,3,1,1,3,5,3,5,5,2,2,4,1,1,3,1,29,Mujer,Posgrado,"Ocupado/a en ciencias sociales, físicas o de la vida"
4/19/2024 12:56:38,AI,Programación ,Sesgo,Buscador,Síntesis ,3,3,4,3,3,4,3,4,4,3,4,3,3,4,3,3,4,4,4,4,4,4,2,1,1,3,5,4,3,4,1,1,4,2,1,4,5,4,1,4,2,1,4,2,2,23,Mujer,Universitario o terciario,"Ocupado/a en ciencias sociales, físicas o de la vida"
4/19/2024 12:59:31,Desarrollo,Herramienta ,Cognicion,Innovación ,Aprendizaje,1,1,5,1,1,2,3,5,2,3,5,1,1,4,1,4,4,9,9,2,4,4,2,2,3,3,5,5,1,5,1,1,1,5,1,4,5,5,5,1,2,1,1,5,5,43,Mujer,Posgrado,Entre trabajos o buscando empleo
4/19/2024 12:59:46,Tecnología,Control,Engaño,Utilidad,Miedo,3,5,4,3,4,2,2,4,5,4,4,3,4,5,3,2,2,4,5,4,4,3,1,2,2,3,4,4,4,4,3,2,2,3,1,4,4,5,4,1,2,2,2,1,4,22,Varón,Universitario o terciario,Ocupado/a en ventas y actividades comerciales
4/19/2024 13:02:21,Chat gpt,Ayuda,Tecnologia,Preocupacion,Aprendizaje,2,2,4,1,1,3,2,5,3,5,5,2,1,5,3,3,5,8,9,4,4,3,3,1,2,4,5,2,2,3,1,1,4,2,2,5,5,3,1,1,3,1,4,4,3,22,Mujer,Universitario o terciario,"Ocupado/a en ciencias sociales, físicas o de la vida"
4/19/2024 13:04:46,Mente,Rosa,Sesgo,Tecla,Código ,3,4,3,4,3,4,4,3,4,3,3,3,2,3,4,3,4,7,6,4,4,2,1,1,1,3,3,2,3,3,3,2,3,2,3,4,3,3,3,4,3,3,4,2,3,35,Mujer,Universitario o terciario,Ocupado/a en matemáticas o computación
4/19/2024 13:05:25,Aprendizajes,Desarrollo,Tecnologia,Problematización,Reflexión ,5,2,4,1,2,1,2,3,2,4,5,3,1,3,3,4,4,5,6,4,4,2,2,2,1,3,5,4,1,3,1,1,1,3,1,4,3,5,3,1,1,1,1,3,3,60,Varón,Posgrado,"Ocupado/a en bibliotecas, educación o capacitación"
